policy_id,country_iso,country_update,policy_name,policy_title,jurisdiction,supranational_region,country,subnational_region,policy_city_or_local,policy_instrument,sector,policy_description,policy_type,stringency,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,reference,last_update,impact_indicators.comments,impact_indicators.name,impact_indicators.value,impact_indicators.base_year,impact_indicators.target_year
211001390,CAN,Annual,"Greenhouse Gas Technology Investment Fund Act Canada (2015)","Greenhouse Gas Technology Investment Fund Act",Country,,Canada,,,"RD&D funding, Technology deployment and diffusion, Technology development, Grants and subsidies",General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,"Under review",2015,,,Unknown,Mitigation,http://laws-lois.justice.gc.ca/eng/acts/G-11.6/,,,,,,
211001391,AUS,Annual,"Greenhouse and Energy Minimum Standards Act Australia (2012)","Greenhouse and Energy Minimum Standards Act",Country,,Australia,,,"Product standards","Industry, Buildings, Transport, Electricity and heat, Appliances","""This Act is about promoting the development and adoption of products to reduce energy use and greenhouse gas production (see the objects in Division 3 of this Part). This is achieved by applying greenhouse and energy minimum standards (GEMS) in association with the supply and commercial use of products that use energy, or affect the energy used by another product.""
""Generally speaking, a product (a GEMS product) covered by a GEMS determination can only be supplied or offered for supply, or used for a commercial purpose, if:
(a) the model of the product is registered under this Act against the determination; and
(b) the product complies with the determination; and
(c) the supply, offer or use complies with the determination.""
(Source: https://www.legislation.gov.au/Details/C2012A00132)
List of regulated products: http://www.energyrating.gov.au/suppliers/registration/regulated-products","Energy efficiency, Non-energy use",,"In force",2012,,,High,Mitigation,https://www.legislation.gov.au/C2012A00132/2021-09-01/text,,,,,,
211001392,AUS,Annual,"Greenhouse intensive water heater phase-out Australia (2010)","Greenhouse intensive water heater phase-out",Country,,Australia,,,"Information and education, Information provision, Regulatory Instruments","Buildings, Hot water and cooking, Appliances",,"Energy efficiency",,Ended,2010,,2014,Unknown,"Mitigation, Water",https://ris.pmc.gov.au/sites/default/files/posts/2011/01/Phasing-out-Greenhouse-Intensive-waterheaters.pdf,,,,,,
211001393,USA,Annual,"Greening of the National Park Service United States of America (1999)","Greening of the National Park Service",Country,,"United States of America",,,"Information provision, Economic instruments, Information and education, Direct investment","Electricity and heat",,"Energy service demand reduction and resource efficiency, Renewables, Energy efficiency, Non-energy use",,"In force",1999,,,Unknown,Mitigation,https://www.americanprogress.org/wp-content/uploads/sites/2/2015/10/GreeningNatlParks-brief1.pdf,,,,,,
211001394,AUS,Annual,"Greenlight Australia (2005)",Greenlight,Country,,Australia,,,"Institutional creation, Strategic planning, Target","Buildings, Industry, General, Appliances, Industrial energy related",,"Energy efficiency",,Ended,2005,,2012,Unknown,Mitigation,https://www.iea.org/policies/381-greenlight-australia,,,,,,
211001395,FRA,Sporadic,"Grenelle Building Plan (Plan Bâtiment Grenelle) France (2009)","Grenelle Building Plan (Plan Bâtiment Grenelle)",Country,,France,,,"Building codes and standards","Buildings, Construction","The Grenelle Building Plan was established in order to reach the targets set by the Grenelle de l'Environnement in the buildings sector, with a focus on public buildings. Such buildings are submitted to a reduction obligation of GHG emissions of 50% by 2018 (and therefore increase the use of renewable energy). Regarding new public buildings, they shall meet the energetic performance requirements of the label BBC (Bâtiments Basse Consommation - Low Consumption Buildings) by 2012 and be energy-positive by 2020 (art. 4, Law No. 2009-967). ""Energy-positive buildings"" is defined as achieving a blanace between non-renewable energy consumption and renewable energy production injected into the grid (Art. 2, Decree of 21 December 2016). The balance thresholds to be met by new public buildings shall be defined in an implementing order (a draft was published in 2017).","Energy efficiency",3,"In force",2009,,,Unknown,Mitigation,http://www.res-legal.eu/search-by-country/france/single/s/res-hc/t/policy/aid/exemplary-role-of-public-authorities-in-accordance-with-art-13-abs-5-res-directive-plan-batiment/lastp/131/,,,,,,
211001396,FRA,Sporadic,"Grenelle I France (2009)","Grenelle I",Country,,France,,,"Climate strategy, Formal & legally binding climate strategy, Energy and other taxes, Grants and subsidies, Building codes and standards, Vehicle fuel-economy and emissions standards","General, Buildings, Construction",Legislative,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,"In force",2009,,,Unknown,Mitigation,http://www.lse.ac.uk/GranthamInstitute/law/grenelle-i/,,,,,,
211001397,FRA,Sporadic,"Grenelle II France (2010)","Grenelle II",Country,,France,,,"Climate strategy, Formal & legally binding climate strategy, Direct investment, Fiscal or financial incentives","Buildings, Electricity and heat, CCS, Renewables, General","This law specifies the Grenelle I objectives in order to facilitate their implementation.","Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,"In force",2010,,,Unknown,Mitigation,http://www.lse.ac.uk/GranthamInstitute/law/grenelle-ii/,,,,,,
211001398,DEU,Annual,"Grid Expansion Acceleration Act (NABEG) Germany (2011)","Grid Expansion Acceleration Act (NABEG)",Country,,Germany,,,"Infrastructure investments, Advice or aid in implementation","Electricity and heat, Renewables",Legislative,Renewables,,"In force",2011,,,Unknown,Mitigation,http://www.lse.ac.uk/GranthamInstitute/law/grid-expansion-acceleration-act-nabeg/,,,,,,
211001399,MEX,Annual,"Grid interconection contract for renewable energy (Contrato de interconexión para fuente de energía renovable) Mexico (2001)","Grid interconection contract for renewable energy (Contrato de interconexión para fuente de energía renovable)",Country,,Mexico,,,"Grid access and priority for renewables, Regulatory Instruments, Net metering, Fiscal or financial incentives","Electricity and heat, Renewables","Resolution RES/140/2001 gives priority to renewables in grid interconnection and imposes discounts of 50% to 70% in transmission costs. Net metering is also possible.
Ammended in 2016 to also consider renewable and cogeneration projects.",Renewables,,"In force",2001,,,unclear,Mitigation,https://www.iea.org/policies/4309-grid-interconection-contract-for-renewable-energy-contrato-de-interconexion-para-fuente-de-energia-renovable,,,,,,
211001400,CAN,Annual,"Growing Forward 2 Canada (2013)","Growing Forward 2",Country,,Canada,,,"Direct investment, Fiscal or financial incentives, Strategic planning","Agriculture and forestry","""Growing Forward 2 is Canada’s current agriculture policy framework and covers a five year period with a focus on innovation, competitiveness, and market development. This CA$3 billion investment by federal, provincial and territorial governments supports strategic initiatives in priority areas, including cost-shared and federal-only programs to advance environmentally sustainable agriculture in Canada.""","Energy service demand reduction and resource efficiency, Non-energy use",,Ended,2013,,2018,High,Mitigation,"http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/canadas_2nd_biennial_report.pdf
http://www.agr.gc.ca/eng/about-us/key-departmental-initiatives/growing-forward-2/?id=1294780620963",,,,,,
211001401,CHN,Annual,"Guangxi Province 1 Million Mu Bio-Fuel Forest Project China (2008)","Guangxi Province 1 Million Mu Bio-Fuel Forest Project","Subnational region",,China,,,"Direct investment",Transport,,Renewables,,"In force",2008,,,Unknown,Mitigation,https://www.iea.org/policies/4694-guangxi-province-1-million-mu-bio-fuel-forest-project,,,,,,
211001402,CAN,Annual,"Guide to Environmental Claims for Industry and Advertisers Canada (2008)","Guide to Environmental Claims for Industry and Advertisers",Country,,Canada,,,"Advice or aid in implementation, Information provision",Industry,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,"In force",2008,,,Unknown,Mitigation,http://www.competitionbureau.gc.ca/epic/site/cb-bc.nsf/en/02701e.html,,,,,,
211001403,JPN,Annual,"Guidebook on Energy Conservation in Buildings Japan (2000)","Guidebook on Energy Conservation in Buildings",Country,,Japan,,,"Advice or aid in implementation",Buildings,,"Energy efficiency, Energy service demand reduction and resource efficiency, Renewables, Other low-carbon technologies and fuel switch",,"In force",2000,,,Unknown,Mitigation,http://www.eccj.or.jp,,,,,,
211001404,JPN,Annual,"Guidebook on Promoting Conservation in Industrial Factories Japan (2001)","Guidebook on Promoting Conservation in Industrial Factories",Country,,Japan,,,"Monitoring, Advice or aid in implementation",Industry,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,"In force",2001,,,Unknown,Mitigation,http://www.eccj.or.jp,,,,,,
211001405,MEX,Annual,"Guidelines establishing and issuing Clean Energy Certificates Mexico (2015)","Guidelines establishing and issuing Clean Energy Certificates",Country,,Mexico,,,"Green certificates","Electricity and heat","The Clean Energy Certificate Guide defines and establishes the criteria of obtaining the Clean Energy Certificates. The certificate's objective is to help Mexico achieve its goals for clean energy participation in power sector keeping costs of the policy to the possible minimum.
The government determines the requirements for clean energy certificates on a yearly basis three years in advance of the compliance period. The first compliance period will be 2018. As of 31st of March 2015, the Clean Energy Quota for this period is set at level of 5% of total electricity consumption. All clean energy generators, defined as power plants using clean energies, developed after August 2014 will receive, for 20 years, one Clean Energy Certificate per MWh generated. Clean energy certificates are bankable and do not expire.
Penalty for non-compliance is between USD 30-250/ MWh. The certificates can be purchased and sold, under monitoring of the regulatory commission of energy.",Renewables,,"In force",2015,,,Unknown,Mitigation,https://www.iea.org/policies/5817-guidelines-establishing-and-issuing-clean-energy-certificates,,,,,,
211001406,CHN,Annual,"Guidelines for Sustainable Forest Management China (2010)","Guidelines for Sustainable Forest Management",Country,,China,,,"Demonstration project, Fiscal or financial incentives","Agriculture and forestry, Forestry","""In the 11th FYP period, the total forest tending area was 31.55 million hectares. Developing and implementing the technical rules and management measures related to young- and middle-aged forest tending and management.""
""The central finance has allocated special funds for young- and middle-aged forest tending. In 2010, the central finance earmarked RMB 2 billion Yuan to subsidize the pilot projects for tending young- and middle-aged forests.""","Energy service demand reduction and resource efficiency, Non-energy use, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,"In force",2010,,,Unknown,Mitigation,http://unfccc.int/resource/docs/natc/chnnc2e.pdf,,,,,,
211001407,FRA,Sporadic,"Guidelines to French Department Prefects on the Promotion of Wind Power France (2003)","Guidelines to French Department Prefects on the Promotion of Wind Power",Country,,France,,,"Policy support","Electricity and heat, Renewables",,Renewables,,"In force",2003,,,Unknown,Mitigation,,,,,,,
211001408,IND,Annual,"Gujarat Small Hydro Policy India (2016)","Gujarat Small Hydro Policy","Subnational region",,India,,,"Fiscal or financial incentives, Strategic planning","Electricity and heat, Renewables","The Gujarat Small Hydro Policy 2016 provides the framework for the State Government and its agencies to promote, support, facilitate and incentivise investments in small hydro projects in the State. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,,"In force",2016,,,Unknown,Mitigation,https://www.iea.org/policies/6221-gujarat-small-hydel-policy-2016?country=India&page=2&qs=indi,,,,,,
211001409,IND,Annual,"Gujarat Solar Power Policy India (2009)","Gujarat Solar Power Policy","Subnational region",,India,Gujarat,,"Net metering, Feed-in tariffs or premiums, Grants and subsidies, User charges, Green certificates","Electricity and heat, Renewables","This policy aims at scaling up solar power in Gujarat. Eligible solar projects include rooftop solar PV systems with net metering on government, residential, industrial and commercial buildings. Discoms, in order to meet their RPO, may purchase solar power, both PV and solar thermal, from developers at a purchase rate determined through competitive bidding. The state also offers susidies for large-scale installation of grid, conencting residential rooftop solar plants. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,,Superseded,2009,,,Unknown,Mitigation,https://www.iea.org/policies/6218-gujarat-solar-power-policy?country=India&page=5&qs=indi,,,,,,
211001410,IND,Annual,"Gujarat Solar Power Policy India (2015)","Gujarat Solar Power Policy","Subnational region",,India,Gujarat,,"Net metering, Grants and subsidies, User charges, Green certificates, Strategic planning","Electricity and heat, Renewables","Following the 2009 Solar Power Policy, this policy aims to: 3.1 promote green and clean power and to reduce the State’s carbon emission; 3.2 reduce dependency on fossil fuels for energy security and sustainability; 3.3 help reduce the cost of renewable energy generation; 3.4 promote investment, employment generation and skill enhancement in the renewable energy sector; 3.5 promote productive use of barren and uncultivable lands; 3.6 encourage growth of local manufacturing facilities in line with the ‘Make in India’ programme; 3.7 promote research, development and innovation in renewable energy. The State will facilitate rooftop solar PV systems with net metering ongovernment, residential, industrial and commercial buildings.",Renewables,3,"In force",2015,,,Unknown,Mitigation,http://www.indiaenvironmentportal.org.in/content/417648/gujarat-solar-power-policy-2015/,,,,,,
211001411,IND,Annual,"Gujarat Waste to Energy Policy India (2016)","Gujarat Waste to Energy Policy","Subnational region",,India,,,"Direct investment, Fiscal or financial incentives, Tax relief, Strategic planning","Electricity and heat, Renewables","The Gujarat Waste to Energy Policy 2016 estimates that the MSW of Gujarat State could support a Waste to Energy plant of approximately 100 MW. While regarded as an expensive source for generation, the policy recognizes the need to make MSW available to generators at designated locations free of cost, give lands for waste to energy projects at free cost to developers, and exempt waste to energy projects from taxes/duties/levies. Therefore, the Waste to Energy Policy – 2016 is intended to facilitate and promote the utilization of MSW for generation of electricity at an affordable cost in a sustainable manner.",Renewables,,"In force",2016,,,Unknown,Mitigation,http://www.indiaenvironmentportal.org.in/content/428039/gujarat-waste-to-energy-policy-2016/,,,,,,
211001412,IND,Annual,"Gujarat Wind Power Policy India (2016)","Gujarat Wind Power Policy","Subnational region",,India,,,"Green certificates, Strategic planning","Electricity and heat","The Gujarat Wind Power Policy 2016 will remain in effect until 30th June 2021. The aim of this policy and similar policies from 2009 and 2013 is to achieve an installed wind power capacity of more than 3 800 MW by the end of 2016. Wind projects installed and commissioned during the operative period shall become eligible for the benefits and incentives declared under this policy, for a period of 25 years from their date of commissioning or for the lifespan of the projects, whichever is earlier.",Renewables,,"In force",2016,,,Unknown,Mitigation,http://www.indiaenvironmentportal.org.in/content/437979/gujarat-wind-power-policy-2016/,,,,,,
211001413,USA,Annual,"H-Prize United States of America (2007)",H-Prize,Country,,"United States of America",,,"Demonstration project, Grants and subsidies, Research & Development and Deployment (RD&D)","Electricity and heat, Transport, Renewables, Light-duty vehicles",,"Renewables, Other low-carbon technologies and fuel switch",,"In force",2007,,,Unknown,Mitigation,http://www.hydrogenprize.org/,,,,,,
211001414,AUS,Annual,"HFC emissions reduction target Australia (2016)","HFC emissions reduction target",Country,,Australia,,,"Strategic planning, Target","Industry, Fluorinated gases","""Australia will look to fast track work to reduce domestic HFC emissions by 85 per cent by 2036, in-line with the most ambitious phase-down proposals under the Montreal Protocol."" (https://www.environment.gov.au/climate-change/publications/factsheet-actions-australia-is-taking)","Non-energy use",,"In force",2016,2016,2036,High,"Mitigation, Air pollution",https://www.dcceew.gov.au/environment/protection/ozone/publications/hfc-phase-down-factsheet,,,"GHG emissions reduction (%)",85,2016,2036
211001415,USA,Annual,"HFC-23 Emission Reduction Programme United States of America (1999)","HFC-23 Emission Reduction Programme",Country,,"United States of America",,,"Negotiated agreements (public-private sector)","Industry, Fluorinated gases",,"Energy service demand reduction and resource efficiency, Non-energy use",,Ended,1999,,,Unknown,Mitigation,https://www.epa.gov/climate-hfcs-reduction/control-hfc-23-emissions,,,,,,
211001416,CHN,Annual,"Hainan Province Plan for the Construction of Wind Farms China (2007)","Hainan Province Plan for the Construction of Wind Farms","Subnational region",,China,,,"Direct investment","Electricity and heat, Renewables",,Renewables,,"In force",2007,,,Unknown,Mitigation,https://www.iea.org/policies/4693-hai-province-plan-for-the-construction-of-wind-farms?country=People%27s%20Republic%20Of%20China&page=7&qs=turkey,,,,,,
211001417,USA,Annual,"Hawaii Energy Code (HEC) United States of America (2015)","Hawaii Energy Code (HEC)","Subnational region",,"United States of America",Hawaii,,"Building codes and standards","Buildings, Construction","The Hawaii Energy Code (HEC) adopted the 2015 IECC and ASHRAE 90.1-2013 with amendments by the State Building Council on July 14, 2015. The HEC must be adopted separately by the four counties. State law (Act 164, 2014), requires that if the counties do not adopt HEC by 2017, the HEC becomes the interim code for the counties. (For details, see reference below.) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Energy efficiency",,"In force",2015,,,Unknown,Mitigation,https://www.iea.org/policies/7065-hawaii-energy-code-hec?country=United%20States&page=2,,,,,,
211001418,FRA,Sporadic,"Heat Fund (Fonds Chaleur) France (2009)","Heat Fund (Fonds Chaleur)",Country,,France,,,"Grants and subsidies","Agriculture and forestry, Electricity and heat, Industry","The French government has created a Heat Fund in order to support the production of heat through renewable energy (implementation of measures decided under Grenelle I). In 2018, the budget is estimated at € 540 million. This scheme only focuses on the national call for tenders for large biomass plants with a heat production over 1,000 toe per year.",Renewables,2,"In force",2009,,,Unknown,Mitigation,http://www.res-legal.eu/search-by-country/france/single/s/res-hc/t/promotion/aid/subsidy-fonds-chaleur/lastp/131/,,,,,,
211001419,FRA,Sporadic,"Heat Fund France (2008)","Heat Fund",Country,,France,,,"Grants and subsidies","Electricity and heat, Renewables",,Renewables,,"In force",2008,,,Unknown,Mitigation,https://www.ademe.fr/?sort=-1&cid=96&m=3&catid=23667,,,,,,
211001420,USA,Annual,"Heat Island Reduction Initiative (HIRI) United States of America (1997)","Heat Island Reduction Initiative (HIRI)",Country,,"United States of America",,,"Direct investment, Infrastructure investments, Information and education, Information provision, Policy support, Strategic planning, Voluntary approaches, Negotiated agreements (public-private sector)",Buildings,,"Energy efficiency",,Ended,1997,,,Unknown,Mitigation,http://www.epa.gov/heatislands/,,,,,,
211001421,DEU,Annual,"Heat Pump Labelling Germany (2005)","Heat Pump Labelling",Country,,Germany,,,"Endorsement label","Buildings, Heating and cooling, Appliances",,"Energy efficiency",,"In force",2005,,,Unknown,Mitigation,http://www.blauer-engel.de,,,,,,
211001422,DEU,Annual,"Heating Costs Ordinance Germany (2009)","Heating Costs Ordinance",Country,,Germany,,,"Energy and other taxes","Buildings, Heating and cooling, Hot water and cooking",,"Energy efficiency",,"In force",2009,,,Unknown,Mitigation,http://www.bmvi.de,,,,,,
211001423,AUS,Annual,"Heating Ventilation and Air Conditioning High Efficiency Systems Strategy (HVAC HESS) Australia (2007)","Heating Ventilation and Air Conditioning High Efficiency Systems Strategy (HVAC HESS)",Country,,Australia,,,"Information provision, Performance label, Professional training and qualification, Policy support, Strategic planning","Buildings, Appliances, Heating and cooling",,"Energy efficiency",,"In force",2007,,,Unknown,Mitigation,https://www.airah.org.au/Content_Files/Industryresearch/26-11-14-HVAC-facilitation-strategy.pdf,,,,,,
211001424,DEU,Annual,"Heavy goods vehicle toll Germany (2005)","Heavy goods vehicle toll",Country,,Germany,,,"Energy and other taxes","Transport, Heavy-duty vehicles","Amendment 2023: For vehicles weighing 7.5 tonnes or more, a partial toll rate of €200 per tonne of CO2 emissions will be added to the existing toll.","Other low-carbon technologies and fuel switch, Energy service demand reduction and resource efficiency, Energy efficiency",,"In force",2005,,,Unknown,Mitigation,https://journals.sagepub.com/doi/abs/10.3141/2066-12,26/02/2024,,,,,
211001425,CAN,Annual,"Heavy-duty Vehicle and Engine Greenhouse Gas Emission Regulations Canada (2013)","Heavy-duty Vehicle and Engine Greenhouse Gas Emission Regulations",Country,,Canada,,,"Codes and standards, Vehicle fuel-economy and emissions standards","Transport, Heavy-duty vehicles","""The objective of the Heavy-duty Vehicle and Engine Greenhouse Gas Emission Regulations (the Regulations) is to reduce Greenhouse Gas (GHG) emissions by establishing mandatory GHG emission standards for new on-road heavy-duty vehicles and engines that are aligned with U.S. national standards."" (Environment and Climate Change Canada, 2013)
""The standards will be implemented beginning with MY2014 vehicles and engines, and will be fully phased-in by 2018. They require CO2 emission reductions ranging from 6% to 23% in the MY2017 timeframe (as compared to a MY2010 baseline), as well as limits on N2O and CH4 emissions and A/C leakage."" (http://transportpolicy.net/index.php?title=Canada:_Heavy-duty:_GHG)
Standards apply to model years 2014-2018","Energy efficiency",,"In force",2013,2014,,High,Mitigation,"http://www.ec.gc.ca/lcpe-cepa/eng/regulations/detailreg.cfm?intReg=214
http://canadagazette.gc.ca/rp-pr/p2/2013/2013-03-13/html/sor-dors24-eng.html
http://transportpolicy.net/index.php?title=Canada:_Heavy-duty:_GHG",,"Vehicle fuel consumption (MJ/tkm), Vehicle fuel consumption (MJ/tkm)","Vehicle fuel consumption (km/l), Vehicle fuel consumption (km/l)","1.38, 0.83",",","2027, 2027"
211001426,KOR,Annual,"Heavy-duty emissions standards Korea Republic of Korea (2013)","Heavy-duty emissions standards Korea",Country,,"Republic of Korea",,,"Vehicle fuel-economy and emissions standards","Transport, Heavy-duty vehicles","Since 2014, heavy-duty vehicles are subject to Euro VI emissions standards. For a detailed history of emission standards, see reference below.","Non-energy use",,"In force",2013,,,Unknown,"Air pollution, Mitigation",http://transportpolicy.net/index.php?title=South_Korea:_Heavy-duty:_Emissions,,,,,,
211001427,IND,Annual,"Heavy-duty vehicles emissions standards India (2017)","Heavy-duty vehicles emissions standards",Country,,India,,,"Vehicle fuel-economy and emissions standards","Transport, Heavy-duty vehicles",,"Energy efficiency",4,"In force",2017,,,High,"Air pollution","http://transportpolicy.net/index.php?title=India:_Heavy-duty:_Emissions
https://www.iea.org/policies/8214-fuel-efficiency-standards-for-commercial-heavy-duty-vehicles-hdvs?country=India&page=2&qs=indi",,,,,,
211001428,IDN,Annual,"Heavy-duty vehicles emissions standards Indonesia (2009)","Heavy-duty vehicles emissions standards",Country,,Indonesia,,,"Vehicle fuel-economy and emissions standards","Transport, Heavy-duty vehicles","Current standard: Euro II, Peraturan Menteri Negara Lingkungan Hidup Nomor 04 Tahun 2009","Energy efficiency",,"In force",2009,,,Unknown,"Air pollution",http://transportpolicy.net/index.php?title=Indonesia:_Heavy-duty:_Emissions,,,,,,
211001429,KOR,Annual,"High Efficiency Appliance Certification Programme Republic of Korea (1996)","High Efficiency Appliance Certification Programme",Country,,"Republic of Korea",,,"Negotiated agreements (public-private sector), Endorsement label","Buildings, Appliances",,"Energy efficiency",,"In force",1996,,,Unknown,Mitigation,https://www.iea.org/policies/8291-high-efficiency-appliance-certification,,,,,,
211001430,EUE,Annual,"High Level Group on Hydrogen and Fuel Cells European Union (27) (2002)","High Level Group on Hydrogen and Fuel Cells",Country,,"European Union",,,"Research & Development and Deployment (RD&D), Policy support","Electricity and heat, Transport",,"Other low-carbon technologies and fuel switch",,Superseded,2002,,,Unknown,Mitigation,https://ec.europa.eu/research/energy/pdf/hydrogen-report_en.pdf,,,,,,
211001431,FRA,Sporadic,"High Speed Rail Lines France (2017)","High Speed Rail Lines",Country,,France,,,"Infrastructure investments","Transport, Rail","In July 2017, two new high speed rail lines have been inaugurated in France, one between Paris and Rennes (1h25min) and the other between Paris and Bordeaux (2h04min), reducing travel times by 35-40%.","Other low-carbon technologies and fuel switch",,"In force",2017,,,Unknown,Mitigation,"https://ec.europa.eu/transport/themes/infrastructure/news/new-high-speed-rail-lines-france_en
https://www.changing-transport.org/wp-content/uploads/slocat_transport-and-climate-change-2018-web.pdf",,,,,,
211001432,USA,Annual,"High Temperature Superconductivity (HTS) Program United States of America (2005)","High Temperature Superconductivity (HTS) Program",Country,,"United States of America",,,"Demonstration project, Research & Development and Deployment (RD&D)","Electricity and heat",,"Energy efficiency",,"In force",2005,,,Unknown,Mitigation,https://www.iea.org/policies/1459-high-temperature-superconductivity-hts-program,,,,,,
211001433,USA,Annual,"High-Performance Green Building Partnership Consortia United States of America (2008)","High-Performance Green Building Partnership Consortia",Country,,"United States of America",,,"Negotiated agreements (public-private sector), Comparison label, Demonstration project","Buildings, Construction",,"Energy efficiency",,Ended,2008,,,Unknown,Mitigation,https://www.federalregister.gov/documents/2008/12/02/E8-28564/formal-recognition-of-high-performance-green-building-partnership-consortia,,,,,,
211001434,EUE,Annual,"High-level Group on Competitiveness, Energy and the Environment European Union (27) (2006)","High-level Group on Competitiveness, Energy and the Environment",Country,,"European Union",,,"Strategic planning, Policy support, Advice or aid in implementation, Institutional creation",Industry,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,"In force",2006,,,Unknown,Mitigation,http://www.ewea.org/news/detail/2007/04/02/high-level-group-on-competitiveness-energy-and-the-environment/,,,,,,
211001435,GBR,Annual,"Highways England Chargepoint Network United Kingdom (2015)","Highways England Chargepoint Network","Subnational region",,"United Kingdom",England,,"Infrastructure investments","Transport, Low-emissions mobility","Highways England has £15m to expand the existing rapid chargepoint network to ensure that across 95 per cent of the strategic road network there will be a chargepoint at least every 20 miles. As part of this, Government will be working with Highways England to understand current and future demand on England’s strategic road network. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Other low-carbon technologies and fuel switch",,"In force",2015,,,Unknown,Mitigation,https://www.iea.org/policies/3094-highways-england?country=United%20Kingdom&qs=united,,,,,,
211001436,IND,Annual,"Himachal Pradesh Energy Conservation Building Code (HPEBC) & Rules India (2019)","Himachal Pradesh Energy Conservation Building Code (HPEBC) & Rules","Subnational region",,India,"Himachal Pradesh",,"Energy efficiency target, Formal & legally binding energy efficiency target",Buildings,"This decision transposes into state law the Energy Conservation Building Code 2018, aiming at reducing energy consumption demand by 30%. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Energy efficiency",4,"In force",2019,,,Unknown,Mitigation,https://www.iea.org/policies/7887-himachal-pradesh-energy-conservation-building-code-hpebc-rules?country=India&qs=indi,,,,,,
211001437,JPN,Annual,"Holistic and Efficient Use of Energy Japan (2008)","Holistic and Efficient Use of Energy",Country,,Japan,,,"Grants and subsidies, Information provision","Electricity and heat",,"Energy efficiency",,"In force",2008,2008,,Unknown,Mitigation,https://www.iea.org/reports/energy-policies-of-iea-countries-japan-2008,,,,,,
211001438,DEU,Annual,"Home Eco Grant (Eigenheim-Ökozulage) Germany (1995)","Home Eco Grant (Eigenheim-Ökozulage)",Country,,Germany,,,"Grants and subsidies","Buildings, Heating and cooling, Hot water and cooking",,Renewables,,Ended,1995,,2006,Unknown,Mitigation,https://www.iea.org/policies/4060-home-eco-grant-eigenheim-okozulage,,,,,,
211001439,USA,Annual,"Home Energy Saver United States of America (1996)","Home Energy Saver",Country,,"United States of America",,,"Information and education, Information provision, Endorsement label",Buildings,,"Energy efficiency",,Superseded,1996,,,Unknown,Mitigation,http://hes.lbl.gov/,,,,,,
211001440,AUS,Annual,"Home Energy Saving Scheme (HESS) Australia (2012)","Home Energy Saving Scheme (HESS)",Country,,Australia,,,"Information provision",Buildings,"AUD50.5 million over four years","Energy efficiency",,Ended,2012,,2016,Unknown,Mitigation,https://www.iea.org/policies/1534-home-energy-saving-scheme-hess?country=Australia,,,,,,
211001441,USA,Annual,"Home Energy Score United States of America (2012)","Home Energy Score",Country,,"United States of America",,,"Advice or aid in implementation, Information provision, Performance label, Voluntary approaches","Buildings, Heating and cooling, Hot water and cooking",,"Energy efficiency",,"In force",2012,,,Unknown,Mitigation,https://betterbuildingssolutioncenter.energy.gov/home-energy-score/home-energy-score-about-score,,,,,,
211001442,GBR,Annual,"Home Energy Scotland United Kingdom (2008)","Home Energy Scotland","Subnational region",,"United Kingdom",Scotland,,"Information provision",Buildings,"The Home Energy Scotland Advice Network consists of of local advice centres covering all of Scotland. Expert advisors offer free advice on energy saving, keeping warm at home, renewable energy, greener travel, cutting water waste and more. Funded by the Scottish Government and managed by the Energy Saving Trust, its mission is to help people in Scotland create warmer homes, reduce their bills and help tackle climate change. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Energy efficiency",,"In force",2008,,,Unknown,Mitigation,https://www.iea.org/policies/2193-home-energy-scotland?country=United%20Kingdom&page=3&qs=united,,,,,,
211001443,USA,Annual,"Home Performance with ENERGY STAR United States of America (2002)","Home Performance with ENERGY STAR",Country,,"United States of America",,,"Advice or aid in implementation","Buildings, Appliances",,"Energy efficiency",,"In force",2002,,,Unknown,Mitigation,http://www.energystar.gov/index.cfm?fuseaction=hpwes_profiles.showsplash,,,,,,
