Policy,Country,Year,Status,Jurisdiction,policy_url,Topics,Type,Sectors,Technologies,LearnMore,Policy_Content,Source
EIB financing to MERLIN for energy efficiency projects,Spain,2022,Announced,National,https://www.iea.org/policies/14891-eib-financing-to-merlin-for-energy-efficiency-projects,,,,,https://www.eib.org/en/press/all/2021-474-el-bei-y-merlin-colaboran-para-impulsar-la-eficiencia-energetica-de-edificios-en-espana-y-portugal,"The European Investment Bank (EIB) will lend EUR 45.2 million to Merlin, the largest Spanish real estate company, to enhance the energy efficiency of its building stock. Among the measures that will be taken to reduce carbon emissions there are façade improvements and renovations to upgrade insulation, heating and air conditioning systems. Some modern LED solar panels will be installed as well. The project, financed by MERLIN and supported by the EIB, is expected to generate 460 jobs in the phase of development.",IEA
EPA Proposal to Reduce Methane and Other Harmful Pollution from Oil and Natural Gas Operations,United States,2022,Announced,National,https://www.iea.org/policies/16970-epa-proposal-to-reduce-methane-and-other-harmful-pollution-from-oil-and-natural-gas-operations,Methane abatement,Leak detection and repair;Flaring or venting restrictions,,,https://www.epa.gov/controlling-air-pollution-oil-and-natural-gas-industry/epa-issues-supplemental-proposal-reduce,"In November 2021, the United States Environmental Protection Agency proposed new rules to reduce emissions of methane and other harmful air pollution from new and existing oil and gas operations. It issued a supplement in November 2022.The proposed rule would require most oil and gas production facilities to stop venting and flaring methane, and facilities would be required to capture the methane and route it to a pipeline or for use onsite. If neither can be done, flaring will be permitted but with a 95% emissions reduction and additional monitoring and reporting requirements. Additionally, the rule would impose stricter standards on oil and gas production equipment and compressor stations, specifically methane leak detection components and frequency of monitoring. Optical gas imaging is the proposed technology, but the EPA is seeking comment on other possible leak detection technology (e.g., sensor networks, unmanned aircraft, mobile detection equipment, and satellite imagery). Lastly, the rule includes emissions guidelines for existing sources similar to the limitations in the New Source Performance Standards.Building on comments, consultations, and hearings on the 2021 Proposal, the 2022 Supplemental Proposal strengthens the requirements further, promotes innovation, simplifies implementation, and fosters inclusivity. It clarifies the system of developing methane emissions reductions plans for Tribal Nations, and gives stakeholders a consultation mechanism during the planning stage. Lastly, it introduces the ""Super-Emitter Response Program"" that requires operators to respond to credible third-party reports of high-volume methane leaks.",IEA
EU-US negotiations on trade in steel and aluminum,Multilateral (2 countries),2022,In force,International,https://www.iea.org/policies/14435-eu-us-negotiations-on-trade-in-steel-and-aluminum,,,,,https://ec.europa.eu/commission/presscorner/detail/en/ip_21_5721,"The European Union and the United States announced that they have reached an agreement to ease tariffs on steel and aluminium and to address carbon intensity and overcapacity at a global scale. The interim arrangement will eliminate US punitive duties imposed on EU-origin steel and aluminum under Section 232 of the Trade Expansion Act of 1962 and instead, implement a tariff rate quota (TRQ), set to be effective on 1 January 2022. The formal announcement and agreement reached comes as part of a carbon-based sectoral arrangement with goals of limiting carbon overproduction and fostering US production. The agreement was extended through 2025 on January 1, 2024.As a first step, the US and EU announced the following:• The US will no longer apply the Section 232 tariffs on a certain amount of EU exports of steel and aluminium from 1st January 2022.• In response, the EU will suspend its rebalancing measures against the US that were introduced in June 2018 in response to the US Section 232 tariffs on steel, aluminum and derivative products. Previously, there was a 25% tariff levied on certain US products imported into the EU, such as bourbon and motorcycles. As a result of the agreement, the anticipated doubling of these punitive rates will no longer go into effect on 1 December 2021.• In addition, they should consult on government investment in decarbonisation, and prohibit non-market practices with high carbon intensity steel and aluminium production.",IEA
EUR 1.5 billion for energy-intensive companies,Romania,2022,In force,National,https://www.iea.org/policies/17408-eur-15-billion-for-energy-intensive-companies,Just transitions,Government spending for energy affordability,,,https://energie.gov.ro/a-fost-aprobata-ordonanta-de-urgenta-privind-instituirea-unei-scheme-de-ajutor-de-stat-pentru-marii-consumatori-de-energie/,The Romanian Government enacted a state aid scheme with a budget of EUR 1.5 billion for the support of energy-intensive companies consisting in compensation of costs resulting from the increase in electricity prices brought by the indirect costs of emissions under the EU Emissions Trading System.,IEA
EUR 1.7 million for geothermal energy in municipalities,Bulgaria,2022,Ended,National,https://www.iea.org/policies/17242-eur-17-million-for-geothermal-energy-in-municipalities,,,,,https://www.me.government.bg/en/news/deputy-minister-petrova-implementation-of-geothermal-energy-projects-will-increase-the-share-of-renewable-energy-in-municipalities-2990.html?p=eyJwYWdlIjoyfQ==,"In March 2022, the Bulgarian Ministry of Energy allocated EUR 1.7 million under the Renewable Energy, Energy Efficiency and Energy Security Programme to six municipalities to support the development of geothermal energy for heating and cooling in public buildings. Subsidy amount per project ranges from 200,000 to 400,000 euro.",IEA
EUR 100 heating subsidy for all households,Belgium,2022,Ended,National,https://www.iea.org/policies/16344-eur-100-heating-subsidy-for-all-households,Just transitions,Government spending for energy affordability,,,https://economie.fgov.be/fr/themes/energie/prix-de-lenergie/mesures-gouvernementales-et/prime-chauffage-de-100-euros,"In addition, it was previously decided on 1 February that a EUR 100 premium will be granted for all Belgian households, as a deduction from their electricity bill. The premium will be automatically granted between 18 April and 31 July 2022. the EUR 100 Federal heating premium was distributed to 4.1 million households out of an estimated 4.9 million eligible. It was announced that applications would be received until 14 October 2022 for the 775 000 households which have not yet received the premium.",IEA
EUR 148 million for green hydrogen projects,Romania,2022,In force,National,https://www.iea.org/policies/17399-eur-148-million-for-green-hydrogen-projects,Fuels,Government spending in hydrogen,,,https://energie.gov.ro/ministerul-energiei-anunta-lansarea-procedurii-competitive-schema-de-ajutor-de-stat-avand-ca-obiectiv-sprijinirea-investitiilor-in-construirea-de-capacitati-pentru-productia-de-hidrogen-verde/,"The Romanian Ministry of Energy launched a state aid scheme with a total budget of EUR 148 million providing grants for the investment in renewable hydrogen production capacities. Eligible beneficiaries - natural gas producers, companies producing electricity, companies producing or consuming hydrogen and territorial units - can draw up to EUR 50 million under the scheme.",IEA
EUR 200 subsidy for households heating with heating oil or propane,Belgium,2022,Ended,National,https://www.iea.org/policies/16352-eur-200-subsidy-for-households-heating-with-heating-oil-or-propane,Just transitions,Government spending for energy affordability,,,https://economie.fgov.be/fr/themes/energie/prix-de-lenergie/mesures-gouvernementales-et,,IEA
EUR 300 subsidy for households heating with heating oil or bulk propane [second Increase],Belgium,2022,Ended,National,https://www.iea.org/policies/16356-eur-300-subsidy-for-households-heating-with-heating-oil-or-bulk-propane-second-increase,Just transitions,Government spending for energy affordability,,,https://economie.fgov.be/fr/themes/energie/prix-de-lenergie/mesures-gouvernementales-et/octroi-dune-allocation-de-225,"A EUR 300 allocation is granted for households heating with heating oil or propane. The extension of the allocation was decided in September 2022, until March 2023, and was the second increase over the previously decided amount of 225 EUR.",IEA
EUR 37.5 million granted to Midac for R&D in the field of batteries,Italy,2022,In force,National,https://www.iea.org/policies/15792-eur-375-million-granted-to-midac-for-rd-in-the-field-of-batteries,Critical Minerals,Financing,,,https://www.mise.gov.it/index.php/it/198-notizie-stampa/2043495-ipcei-batterie-da-fondo-mise-37-5-milioni-per-midac,"The Ministry of Economic Development granted EUR 37.5 million to Midac to carry out research, development and innovation activities at the Soave site envisaged by the second important project of common European interest in the field of batteries (IPCEI Batterie 2), authorized by the EU Commission.The investment is aimed at ""strengthening the competitiveness of the company in order to foster strategic autonomy, also through strong synergy and integration along the entire Europe value chain, from raw materials extraction to design and production of batteries, to recycling and introduction into the circular economy circuit [...]""The Midac project, launched on 1 January 2022, will end on 31 May 2029.",IEA
EUR 457 million for wind and solar,Romania,2022,In force,National,https://www.iea.org/policies/17405-eur-457-million-for-wind-and-solar,Power,Government spending in low-carbon electricity,,,https://energie.gov.ro/pnrr-ministerul-energiei-anunta-lansarea-apelului-de-proiecte-noi-capacitati-de-productie-energie-din-surse-regenerabile/,"In March 2022, Romanian Ministry of Energy launched a state aid scheme for the financing of new capacity additions of wind and solar energy both for own consumption and sale. The scheme aims to support the installation of 950 MW of new capacity by 2024. Eligible beneficiaries are companies registered in Romania, which can draw up to EUR 1.3 million per MW of wind capacity and up to EUR 750,000 per MW of solar capacity.",IEA
EUR 5 million in support of the installation of solar panels on apartments,Estonia,2022,Ended,National,https://www.iea.org/policies/16003-eur-5-million-in-support-of-the-installation-of-solar-panels-on-apartments,Power,Government spending in low-carbon electricity,,,https://www.mkm.ee/uudised/riik-kuulutab-valja-korteriuhistutele-moeldud-paikesepaneelide-toetuse-taotlusvooru,"As part of the effort to increase Estonia's energy security in the context of the global energy crisis, the government provides financial support to apartment owner associations for the purchase and installation of solar panels.",IEA
EUR 505 million package in measures to mitigate the cost of transport,Ireland,2022,Ended,National,https://www.iea.org/policies/15008-eur-505-million-package-in-measures-to-mitigate-the-cost-of-transport,Just transitions,Government spending for energy affordability,,,https://www.gov.ie/en/press-release/2e239-ministers-mcgrath-and-donohoe-announce-505-million-package-in-measures-to-mitigate-the-cost-of-living/,"The Minister for Public Expenditure and Reform announced a series of policy measures designed to support households, especially from the increase in fuel and other energy prices.The package included:",IEA
EUR 62 million for energy efficiency,Romania,2022,In force,National,https://www.iea.org/policies/17403-eur-62-million-for-energy-efficiency,Industry,Government spending for energy efficiency and recycling,,,https://energie.gov.ro/pnrr-ministerul-energiei-lanseaza-in-consultare-publica-documentele-pentru-sprijinirea-investitiilor-in-modernizare-monitorizarea-si-eficientizarea-consumului-de-energie-la-nivelul-operator/,"In June 2022, the Romanian Ministry of Economy launched a state aid scheme with a total allocation of EUR 62 million to support investments in modernisation and energy efficiency of industrial companies. Eligible beneficiaries can draw up to EUR 1.2 million per investment project in non-refundable grants.",IEA
EUR 8 million for small houses' energy efficiency,Estonia,2022,Ended,National,https://www.iea.org/policies/15108-eur-8-million-for-small-houses-energy-efficiency,Buildings,Government spending for energy-efficient buildings,,,https://kredex.ee/en/news/so-far-total-481-applications-have-been-submitted-reconstruction-grant-small-residences,"The Estonian Ministry of Economic Affairs and Communications allocated EUR 8 million in 2022 to support the energy efficiency of small houses, with special emphasis on the installation of solar panels with roof and facade insulation. A EUR 5 million euro solar panel subsidy will also open for apartment associations. The reconstruction support for small houses application process start at the end of March 2022, and is intended for houses built before 2000.The rate of support for the complete reconstruction of the building is 30% and up to EUR 20 000 euros in Tallinn and the city of Tartu, 40% and up to EUR 30 000 in the municipalities bordering Tallinn and Tartu, and 50% and up to EUR 40 000 in other areas. The support for the partial renovation of the building is 20% and up to EUR 20 000 euros nationwide, and for the installation of solar panels and the renovation of the roof or facade 30% and up to EUR 20 000 euros.An application round for support for the installation of solar panels in apartment buildings is to be open in April 2022. In order to receive support, in addition to the installation of solar panels, the roof or facade under the panels must be repaired to increase energy savings.",IEA
EUR 9.6 million in subsidies for renewable energy storage,Estonia,2022,In force,National,https://www.iea.org/policies/17154-eur-96-million-in-subsidies-for-renewable-energy-storage,Power,Government spending in storage,,,https://rtk.ee/toetused-ja-taotlemine/taaste-ja-vastupidavusrahastu-rrf/eesti-taastekava,Estonian Ministry of Economy will provide EUR 9.6 million to companies producing energy from renewable sources to invest in heat and electricity storage. Beneficiaries can draw up to one million euros with the maximum subsidy amount of EUR 360 000/MWh of electricity storage and EUR 220 000/1000 cubic meters of thermal storage. The subsidies are distributed by the Center for Environmental Investments (KIK) and applications opened in December 2022.,IEA
Eco-Social Tax Reform Act - Austria ETS,Austria,2022,In force,National,https://www.iea.org/policies/13998-eco-social-tax-reform-act-austria-ets,Buildings;Transport,Carbon pricing instruments,,,https://www.oesterreich.gv.at/Gesetzliche-Neuerungen/archiv-bgbl-2022/oekosoziales-steuerreformgesetz-2022-teil-i.html,"Austria has implemented a national emissions trading system as part of broader fiscal reforms in Eco-Social Tax Reform Act 2022 (Ökosoziales Steuerreformgesetz 2022) that also plans to reduce corporate and income tax rates. The national emission trading system covers mainly heating and transportation emissions not covered under the EU ETS. The rate started at EUR30/tCO2e in 2022 and is planned to rise each year during the fixed price phase to EUR35/tCO2e in 2023, to EUR45 in 2024 and to EUR55 in 2025.World Bank, Carbon Pricing Dashboard",IEA
Economic Plan to reduce the cost of living,Israel,2022,Ended,National,https://www.iea.org/policies/16716-economic-plan-to-reduce-the-cost-of-living,Just transitions,Government spending for energy affordability,,,"https://www.gov.il/en/departments/news/press_09022022#:~:text=Mesures%20pour%20r%C3%A9duire,millions%20de%20shekels","As part of its economic plan to reduce the cost of living, the government of Israel abolished the excise tax on coal for the year 2022. The measure is meant to counter-act the effect of the global energy crisis on electricity retail prices.",IEA
Economic and Social Resilience Plan,France,2022,In force,National,https://www.iea.org/policies/15173-economic-and-social-resilience-plan,,,,,"https://www.economie.gouv.fr/plan-resilience-economique-sociale-gouvernement#:~:text=Pr%C3%A9sentation.&text=Faire%20face%20aux%20impacts%20%C3%A9conomiques,le%20Premier%20ministre%20Jean%20Castex.&text=Un%20plan%20qui%20s'adresse,les%20Fran%C3%A7ais%2C%20particuliers%20comme%20professionnels.","In response to the rise in international energy prices, the French government enacted an Economic and Social Resilience Plan from April 2022.The Plan encompasses :- Energy affordability measures targeted at consumers : a fuel discount on gasoline, diesel, natural gas and LPG (""Bouclier Tarifaire""), subsidies to sectors most exposed to the impact of price hikes such as fishing, agriculture, construction and transport, gas and electricity subsidies for companies for which gas and electricity expenses represent at least 3% of their turnover, State- backed loans for companies most exposed to the crisis effect- Clean energy and energy efficiency support : increased support to connection fees for biogas plants, from 40% to 60%, launch of a public campaign on energy savings before winter 2022/23, increase in the budget allocated to ""MaPrimeRénov'"" subsidy scheme for fuel switch in domestic heating systems as well as the ""Fonds Chaleur"" scheme targeting community and industry heating systems switch, launch of a new call for tender to support decarbonisation projects in heavy industries, earmarked government investment to improve the energy performance of public buildings.- Measures aimed at strengthening energy security, by filling storage facilities ahead of the winter of 2022 and increasing import capacity for liquefied natural gas (LNG).",IEA
Egypt National Climate Change Strategy (NCCS) 2050,Egypt,2022,In force,National,https://www.iea.org/policies/25887-egypt-national-climate-change-strategy-nccs-2050,Economy-wide,Master Energy Plan,,,https://www.eeaa.gov.eg/Uploads/Topics/Files/20221206130720583.pdf,Egypt National Climate Change strategy aims at setting the targets over mitigation and adaption for Egypt towards2050. It notably includes actions towards the promotion of sustainable energy resources and systems.,IEA
Egypt-Saudi electricity interconnection project,Egypt,2022,In force,International,https://www.iea.org/policies/14291-egypt-saudi-electricity-interconnection-project,,,,,https://www.moenergy.gov.sa/en/MediaCenter/News/Pages/saudi-egyptian-electricity-interconnection-project.aspx,"A consortium led by Hitachi ABB Power Grids has been awarded a contract for the construction of an electricity interconnection, by a venture led by the Egyptian Electricity Transmission Company and the Saudi Electricity Company. The interconnection will allow Saudi Arabia and Egypt to exchange up to 3,000 MW of power.Linking the power grids of the two countries and hence the interconnected power grids of the Arabian Gulf with those of North Africa, will support grid resilience and decarbonisation objectives as a large part of the exchanged electricity in the future will likely be from renewable sources. Saudi Arabia aims to increase the share of natural gas and renewable energy sources in electricity production to about 50% by 2030, while Egypt targets 42% of electricity generation from renewables by 2035.This is the first ever large-scale high-voltage direct current (HVDC) interconnection link in the Middle East and North Africa. It will carry power along a 1,350 km route (839 mile) using overhead power lines and a subsea cable across the Red Sea.Some 1.5 GW of the project is due to start operations in late 2024 and the balance in mid-2025.",IEA
Electric vehicles charging infrastructure,People's Republic of China,2022,In force,National,https://www.iea.org/policies/21105-electric-vehicles-charging-infrastructure,Transport,Government spending in charging infrastructure,,,https://jjs.mof.gov.cn/zxzyzf/jnjpbzzj/202405/t20240507_3934118.htm,"The Chinese government is allocating spending to develop domestic charging infrastructures for New Energy Vehicle (eg. battery electric, hydrogen fuel cell electric, and plug-in hybrid electric vehicles).",IEA
Electrical Network Standardization Programme,Colombia,2022,In force,National,https://www.iea.org/policies/14272-electrical-network-standardization-programme,Power,Government spending in electricity networks,,,https://www.minenergia.gov.co/es/sala-de-prensa/noticias-index/programa-de-normalizaci%C3%B3n-de-redes-el%C3%A9ctricas-aprob%C3%B3-48-proyectos-en-5-departamentos/,"The Electrical Network Standardization Programme contains 75 projects to be executed in the departments of Magdalena, Meta, Atlántico, Arauca and La Guajira. The resources allocated will allow for 1,000 new transformers, 9,300 poles, and 300 km of medium and low voltage networks.",IEA
Electrical bike purchase subsidy,France,2022,Ended,National,https://www.iea.org/policies/16427-electrical-bike-purchase-subsidy,Transport,Government spending for low-emissions and efficient transport,,,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000049130533,"In the framework of the Power Purchasing Act, the subsidy scheme meant to incentivise electric bike purchase, in the form of a EUR 300-400 subsidy for the purchase of a new electric bike. Access modalities are based on revenue criteria, enlarged in 2022, and again in 2023.In 2024, the subsidy scheme was extended until 2027, and extended to include second hand bikes sold by professionals .",IEA
Electricity Subsidy,Malaysia,2022,In force,National,https://www.iea.org/policies/17244-electricity-subsidy,Just transitions,Government spending for energy affordability,,,https://belanjawan.mof.gov.my/pdf/belanjawan2024/ucapan/ub24-BI.pdf,"The Malaysian government subsidised electricity from 1st July to 31st December 2023 to compensate for the price increase brought by the global energy crisis. The measure targetted domestic consumers with a monthly electricity consumption of 1,500 kWh or below, small and medium enterprises and energy intensive companies.",IEA
Electricity VAT reduction,Portugal,2022,In force,National,https://www.iea.org/policies/16532-electricity-vat-reduction,Just transitions,Government spending for energy affordability,,,https://www.portugal.gov.pt/download-ficheiros/ficheiro.aspx?v=%3d%3dBQAAAB%2bLCAAAAAAABAAzNDY0MwUAlev7QgUAAAA%3d,"In response to the global energy crisis, the Portuguese government enacted a 7% electricity VAT reduction (from 13% to 6%), for electricity consumption levels up to 100 kWh/month (or 150 kWh in large families) from October 2022 until end 2023.The reduction is applicable to consumers with contractual arrangements under 6,9 kVA.",IEA
Electricity market reform bill to protect consumers,Estonia,2022,Announced,National,https://www.iea.org/policies/16188-electricity-market-reform-bill-to-protect-consumers,,,,,https://mkm.ee/uudised/valitsus-saadab-parlamendile-elektriturureformi-eelnou,"In August 2022, the Government of Estonia approved a bill on the electricity market reform. The reform proposes to provide a controlled electricity price as a universal service for household consumers and apartment associations from 1 October 2022 until the end of April 2026, with the aim of lowering the impacts of the energy crisis on Estonians.",IEA
Electricity price rise compensation,Morocco,2022,Ended,National,https://www.iea.org/policies/20334-electricity-price-rise-compensation,Just transitions,Government spending for energy affordability,,,https://www.finances.gov.ma/Publication/db/2024/note-presentation_Fr.pdf,The Moroccan government compensated the rise in electricity prices brought by the global energy crisis through the National Office for Electricity and Water.,IEA
Electricity price stabilisation & discounts,Cambodia,2022,In force,National,https://www.iea.org/policies/16619-electricity-price-stabilisation-discounts,Just transitions,Government spending for energy affordability,,,https://www.cpp.org.kh/en/details/319535,"In an effort to cushion domestic consumers from the impact of the global energy crisis, the Cambodian government has been stabilising electricity price from 2022, compensating the State-owned Electricité du Cambodge utility for the financial loss incurred. Specific electricity price discounts are also provided to tourism sector companies, industrial companies and the agricultural sector.",IEA
Electricity subsidies,Oman,2022,In force,National,https://www.iea.org/policies/16718-electricity-subsidies,Just transitions,Government spending for energy affordability,,,https://nss.gov.om/site/home?ln=en,"In an effort to shield domestic consumers from the effects of the global energy crisis, the government of Oman implemented a temporary 15% increase in electricity subsidies from May to August 2022.The gradual scheme phase out was postponed in summer 2022. The measure has been extended for 2023.",IEA
Electrification Strategy,Sweden,2022,Announced,National,https://www.iea.org/policies/15017-electrification-strategy,,,,,https://www.regeringen.se/pressmeddelanden/2022/02/elektrifieringsstrategi-for-en-historisk-klimatomstallning-for-framtidens-grona-jobb/,"An Electrification Strategy was unveiled by the Swedish government. It comprises 12 points and 67 measures, to be implemented over the period 2022-2024. Among the measures announced, there are:- The creation of an electrification council to support the Strategy;- The improvement of the national network planning with Swedish Transmission System Operator Svenska kraftnät;- The implementation of a cogeneration strategy, with the support of the Swedish Energy Agency;- The expansion of the charging infrastructure for EVs and tank infrastructure for hydrogen;- The provision of incentives for the development of wind power.The 2022 budget has SEK 20 million for the strategy and the 2023 and 2024 budgets have respectively SEK 35 million and SEK 25 million allocated.",IEA
Electrification aid for energy-intensive industries,Finland,2022,In force,National,https://www.iea.org/policies/16406-electrification-aid-for-energy-intensive-industries,Industry,Government spending for energy efficiency and recycling,,,https://valtioneuvosto.fi/en/-/1410877/operators-in-energy-intensive-industries-can-apply-for-electrification-aid-in-2022-2026,"Electrification aid can be granted to energy-intensive industries, i.e. industries that use a large amount of energy, in 2022–2026. The practices related to the electrification aid are defined in the government decree. Companies operating in the sectors entitled to the aid must apply for the 2022 aid by the end of September.The Government issued the decree on the electrification aid for energy-intensive industries on 8 July 2022. The decree complements the act that entered into force on 1 July 2022. The aid will compensate certain energy-intensive industries for indirect costs caused by emissions trading that affect the price of electricity. The objective is to safeguard the cost competitiveness of industry and prevent the risk of carbon leakage. The aid targets costs that non-EU competitors of companies operating in the international market do not have. It is estimated that there are just over 30 companies and about 70 plants entitled to the electrification aid in Finland.The decree now issued defines the way the companies can apply for the aid, how the amount of aid is calculated and how its use is monitored. The decree also lays down the terms of development measures to promote carbon neutrality. The decree will enter into force on 11 July 2022.",IEA
Electrification of Halifax public transit – Nova Scotia,Canada,2022,In force,State/Provincial,https://www.iea.org/policies/14224-electrification-of-halifax-public-transit-nova-scotia,,,,,https://novascotia.ca/news/release/?id=20210715001,"The Canadian Government will contribute CAD 44.8 million to help bringing in 60 new electric buses to Halifax Regional Municipality (HRM). Once in service, they are expected to reduce greenhouse gas emissions by 3,800 tonnes annually by 2030. The Nova Scotia government is investing CAD 37 million, and HRM CAD 29.8 million, with a total project cost of CAD 112 million. Funding will also be used to purchase charging equipment and expand the Ragged Lake Transit Centre. The facility will be retrofitted, including solar panels, to achieve a net-zero standard. Construction on the facility is expected to begin in 2022 and be complete by 2023. All buses should be delivered by 2024, with the first deliveries starting in 2023.",IEA
Emergency plan to mitigate and avoid the effects of natural gas supply,Czech Republic,2022,In force,National,https://www.iea.org/policies/26262-emergency-plan-to-mitigate-and-avoid-the-effects-of-natural-gas-supply,Fuels,Gas emergency plan,,,https://energy.ec.europa.eu/document/download/064d0901-2ee3-4fe2-b10b-41a1e2301abe_en?filename=CZ_2022-11-18%20EMERGENCY%20PLAN%20CZECH%20REP-%20EN%201.draft%20to%20CIRCAB.pdf,"The Ministry of Industry and Trade established a state of emergency protocol for the gas industry, along with a security of supply standard. This standard categorizes consumers into eight groups based on their gas consumption type and defines five levels to limit gas supplies and five levels to interrupt deliveries to specific customer groups. The final level, known as the emergency stage, involves temporary halting natural gas supplies.",IEA
Emergency plan to safeguard the security of natural gas supply,Bulgaria,2022,In force,National,https://www.iea.org/policies/26288-emergency-plan-to-safeguard-the-security-of-natural-gas-supply,Fuels,Gas emergency plan,,,https://energy.ec.europa.eu/document/download/95d16355-d7b5-4879-b972-de2f334221be_en?filename=EMERGENCY%20PLAN%20TO%20SAFEGUARD%20THE%20SECURITY%20OF%20NATUTAL%20GAS%20SUPPLY%20OF%20THE%20REPUBLIC%20OF%20BULGARIA.pdf,"Bulgaria’s emergency plan for natural gas supply includes demand-side measures such as restricting gas consumption, urging voluntary reductions, and securing alternative fuel stocks. Consumers must adhere to contracted supply limits set by providers.",IEA
Energy Access Fund,Chile,2022,In force,National,https://www.iea.org/policies/20134-energy-access-fund,Just transitions,Government spending for energy access,,,https://www.chileatiende.gob.cl/fichas/36666-fondo-de-acceso-a-la-energia-fae,Chile's Energy Access Fund (FAE) provides funding for energy access small-scale projects focused on renewable energy sources such as solar thermal and solar photovoltaic systems. The objective of the fund is to improve energy access for rural and isolated communities.,IEA
Energy Action Plan,South Africa,2022,In force,National,https://www.iea.org/policies/25924-energy-action-plan,Economy-wide,Master Energy Plan,,,https://www.stateofthenation.gov.za/takechargesa/energy-action-plan,"The Energy Action Plan seeks to end load shedding and guarantee energy security. The plan includes five pillars, including the improvement of the availability of existing supply by restructuring Eskom, enabling private investment in generation capacity, accelerate procurement of new generation capacity from renewables, gas and battery storage, unleash businesses and households to invest in rooftop solar, and achieve long-term energy security in the country.",IEA
Energy Bills Rebate package,United Kingdom,2022,Ended,National,https://www.iea.org/policies/16819-energy-bills-rebate-package,Just transitions,Government spending for energy affordability,,,https://www.gov.uk/government/news/millions-to-receive-350-boost-to-help-with-rising-energy-costs,"On 3 February 2022, the UK Chancellor of the Exchequer outlined The Energy Bills Rebate package, which includes the following measures:This policy was replaced by the Energy Bill Support Scheme (EBSS) on 1st April 2022.",IEA
Energy Conservation Subsidies Package,Japan,2022,In force,National,https://www.iea.org/policies/20812-energy-conservation-subsidies-package,Buildings;Industry,Government spending for efficient or cleaner technologies;Government spending for energy efficiency and recycling;Government spending for energy-efficient buildings,,,https://www.enecho.meti.go.jp/category/saving_and_new/saving/government/data/240401_JPN_EnergyEfficiency.pdf,"The second supplementary budget for 2022, approved by the Cabinet on November 8, 2022, includes a strengthening of energy-saving measures for businesses and households. Additional financial resources were made available in FY2023 and FY2024 supplementary budget.It includes energy efficiency improvements measures such as fuel switch, more efficient appliances and renovation subsidies.",IEA
Energy Efficiency Action Plan 2022-2026,Chile,2022,In force,National,https://www.iea.org/policies/19620-energy-efficiency-action-plan-2022-2026,Buildings,Government spending for efficient or cleaner technologies,,,https://www.dipres.gob.cl/597/articles-325432_doc_pdf.pdf,"Chile's Energy Efficiency Action Plan provides financial support for all types of initiatives related to diversification, saving, and efficient use of energy in the country.",IEA
Energy Efficiency Fund,Singapore,2022,In force,National,https://www.iea.org/policies/17292-energy-efficiency-fund,Buildings,Government spending for efficient or cleaner technologies,,,https://www.nea.gov.sg/programmes-grants/grants-and-awards/energy-efficiency-grant,"In 2022, Singapore's National Environment Agency (NEA) further enhanced The Energy Efficiency Fund (E2F), supporting the replacement of appliances in favour of energy-efficient technologies.With effect from 1 April 2023, the Energy Efficiency fund will include a list of pre-approved energy efficient technologies to be eligible for a fixed 70 per cent support of qualifying costs, subject to a cap per facility based on the types of energy efficient technologies. These technologies include lighting, air-conditioning, compressed air system, boiler system (with heat pumps).Each technology is set to a maximum cap of SGD 200,000 (lighting and air-conditioning) and SGD 350,000 (compressed air and boiler system).",IEA
Energy Efficiency Grant,Singapore,2022,In force,National,https://www.iea.org/policies/17300-energy-efficiency-grant,Industry,Government spending for energy efficiency and recycling,,,https://www.nea.gov.sg/programmes-grants/grants-and-awards/energy-efficiency-grant,"Launched in 2022, the grant was initially intended for companies in the Food Services, Food Manufacturing, and Retail sectors. It was enhanced in 2024 to include more sectors, including Manufacturing, Construction, Maritime, and Data Centres and their users. The enhanced grant also aim to fold in the Energy Efficiency Fund (E2F).It provides two tiers of support – a base tier to provide support for pre-approved EE equipment up to S$30,000; and an advanced tier up to $350,000 to support companies for larger investments that drive greater energy efficiency.",IEA
Energy Ministry Decree No.77k/MB.01/MEM.B/2022,Indonesia,2022,In force,National,https://www.iea.org/policies/17997-energy-ministry-decree-no77kmb01memb2022,Critical Minerals,Strategic plans,,,https://jdih.esdm.go.id/index.php/web/result/2250/detail,"This decree stipulates the National Mineral and Coal policy which includes the inventory of minerals and coal, the management and utilisation of coal, mineral and coal conservation, as well as monitoring and evaluation. This National Mineral and Coal policy is dynamic and can be changed periodically for continuous improvement while supporting medium- and long-term national development.",IEA
