Policy,Year,Country,Policy_Content,single_url_2,Scope,Document_Type,Economic_Sector,Energy_Types,Source
Petroleum Demand Restraint Act 1981 (2021 Ed.),2021,NEW ZEALAND,"An Act to make provision for the imposition of measures restraining the demand for petroleum products or ensuring the equitable distribution in New Zealand of petroleum products that are, or are likely to be, in short supply in New Zealand.",https://policy.asiapacificenergy.org/node/1991,National,Act,Energy,Oil,APEP
Energy Companies Act 1992 (2021 Ed.),2021,NEW ZEALAND,"An Act to provide for the formation of energy companies, the vesting in such companies of the undertakings of Electric Power Boards and the electricity and gas undertakings of local authorities, and for the dissolution of Electric Power Boards; This Act repeals the Electric Power Boards Act 1925, the Auckland Electric Power Board Act 1978, and the Waikato Electricity Authority Act 1988.",https://policy.asiapacificenergy.org/node/1982,National,Act,"Energy, Power","All, Power, Gas",APEP
Greenhouse and Energy Minimum Standards Act 2012 (2021 Ed.),2021,AUSTRALIA,"An Act to promote the development and adoption of products that use less energy and produce fewer greenhouse gases, and for related purposes.",https://policy.asiapacificenergy.org/node/1907,National,Act,"Energy, Other","All, Other",APEP
Land Code of Turkmenistan of 2004 (2021 Ed.),2021,TURKMENISTAN,"The policy concentrates on sustainable development benefits associated with improvements in land management practices, conservation and protection of natural resources, creation of an enabling business environment in the sector.",https://policy.asiapacificenergy.org/node/1812,National,Code,"Multi-Sector, Other","All, Other",APEP
Building Energy Efficiency Disclosure Act 2010 (2021 Ed.),2021,AUSTRALIA,"An Act to promote the disclosure of information about the energy efficiency of buildings, and for related purposes.",https://policy.asiapacificenergy.org/node/1717,National,Act,"Energy, Building","All, Other",APEP
Fuel Tax Act 2006 (2021 Ed.),2021,AUSTRALIA,"An Act about fuel tax and fuel tax credits, and for related purposes.",https://policy.asiapacificenergy.org/node/1695,National,Act,"Energy, Multi-Sector",Oil,APEP
Renewable Energy (Electricity) Regulations 2001 (2021 Ed.),2021,AUSTRALIA,This document provides for Renewable Energy (Electricity) Regulations 2001 (Compilation No.73) as amended and in force on 28 March 2021.,https://policy.asiapacificenergy.org/node/1675,National,Rule/Regulation,Energy,"Power, Renewable, Bioenergy, Hydropower, Solar",APEP
Carbon Credits (Carbon Farming Initiative) Rule 2015 (2021 Ed.),2021,AUSTRALIA,Carbon Credits (Carbon Farming Initiative) Rule 2015 (2021 Ed.) made under the Carbon Credits (Carbon Farming Initiative) Act 2011.,https://policy.asiapacificenergy.org/node/1602,National,Rule/Regulation,"Multi-Sector, Other","All, Other",APEP
Schedule of Onshore Petroleum Exploration and Production Requirements (1 June 2021),2021,AUSTRALIA,The Schedule of Onshore Petroleum Exploration and Production Requirements (1 June 2021) provides for Onshore Petroleum Exploration and Production Requirements.,https://policy.asiapacificenergy.org/node/1569,Subnational,Other,Energy,Oil,APEP
Petroleum Regulations 2020 (Northern Territory),2021,AUSTRALIA,This document provides for Regulations under the Petroleum Act.,https://policy.asiapacificenergy.org/node/1568,Subnational,Rule/Regulation,Energy,Oil,APEP
Mineral Titles Act 2010 (2021 Ed.) (Northern Territory),2021,AUSTRALIA,"An Act about exploration for, and extraction and processing of, minerals and extractive minerals in the Territory, and for related purposes.",https://policy.asiapacificenergy.org/node/1564,Subnational,Act,Energy,Coal,APEP
Priorities of the State Policy on Improving Electric Power Sector Efficiency through the Introduction of Renewable Energy Sources until 2035 (Government Order No. 1-R of 2009) (2021 Ed.),2021,RUSSIAN FEDERATION,"Present document explores policy components essential for the integration of renewable energy into the national power system, reviews the concepts of environmental sustainability. The policy adopted in 2009 lays the ground for potential future efforts on the development of renewable sources of energy in the Russian Federation.",https://policy.asiapacificenergy.org/node/1241,National,Overarching Policy,"Energy, Power","Power, Renewable",APEP
Tax Code of Georgia (2021 Ed.),2021,GEORGIA,"The Tax Code (2021 Ed.) sets forth the general principles of formation and operation of the tax system of Georgia, governs the legal relations involved in the movement of passengers, goods and vehicles across the customs border of Georgia, determines the legal status of persons, tax payers and competent authorities involved in legal relations, determines the types of tax offences, the liability for violation of the tax legislation of Georgia, the terms and conditions for appealing wrongful acts of competent authorities and of their officials, lays down procedures for settling tax disputes.",https://policy.asiapacificenergy.org/node/1227,National,Code,Multi-Sector,All,APEP
Land Code of the Kyrgyz Republic (Code No. 45 of 1999) (2021 Ed.),2021,KYRGYZSTAN,The Land Code No. 45 of 1999 (2021 Ed.) is the main regulatory document for the management of land resources in the Republic of Kyrgyzstan.,https://policy.asiapacificenergy.org/node/1194,National,Code,"Power, Multi-Sector","Coal, Oil, Power, Gas",APEP
Resolution No. 33 of 2008 on Electricity Tariffs (2021 Ed.),2021,GEORGIA,"The resolution is adopted to ensure consistency of tariff determination procedures in the power sector of the Republic of Georgia. Based on the underlying principles of the national Law on Electricity and Natural Gas, the regulatory document provides the mandatory tariff list for hydropower enterprises, thermal power plants, covers the areas of power transmission and dispatch, import of electricity as well as services provided by the electricity system commercial operator.",https://policy.asiapacificenergy.org/node/912,National,Other,Power,Power,APEP
Electricity (Capacity) Market Rules No. 77 of 2006 (2021 Ed.),2021,GEORGIA,"The policy establishes legal framework for the regulation of electricity (capacity) market in the Republic of Georgia. Present Rules determine: 1)  the operation of electricity and guaranteed capacity market, activities of commercial system operator and dispatch licensee; 2) technical, commercial and financial aspects related to purchase and sale of electricity; 3) technical, commercial and legal aspects related to electricity generation, transmission, dispatch, flow and distribution activities, provision of guaranteed capacity to the United Electricity System, electricity import and export, work in parallel regime of electricity systems; 4) principles and procedures of electricity generation, consumption, import and export for qualified enterprises, in accordance with provisions of the Law of the Republic of Georgia On Electricity and Natural Gas; 5) drawing up electricity (capacity) balances and their implementation rules; 6) other areas determined by Georgian legislation.",https://policy.asiapacificenergy.org/node/883,National,Rule/Regulation,Power,Power,APEP
Rules for Determining the Price for Capacity of Generating Facilities Functioning on the Basis of Renewable Energy Sources (2021 Ed.),2021,RUSSIAN FEDERATION,The Government of the Russian Federation endorsed the present Decree in 2013 to set up mechanisms facilitating the introduction of renewable sources of energy on the wholesale electricity (capacity) market. The policy elaborates on the basic criteria and determines qualifications of a renewable power generation facility / plant.,https://policy.asiapacificenergy.org/node/870,National,Rule/Regulation,"Energy, Power","Power, Renewable, Hydropower, Solar, Wind",APEP
Water Code of the Russian Federation (2021 Ed.),2021,RUSSIAN FEDERATION,"The present Code sets up legal and institutional framework for water resources in the Russian Federation. While elucidating the interlinkages between energy and water, the Code specifically addresses issues in the energy-water nexus. In a broader sense, the policy fosters an enabling environment for economic and social progress giving due consideration to environmental priorities. As provided by art. 1, water utility system is a complex of water bodies and water works designed in a way to ensure the efficient use and protection of water resources.",https://policy.asiapacificenergy.org/node/826,National,Code,Multi-Sector,"Renewable, Hydropower",APEP
Price Setting in the Sphere of Regulated Prices (Tariffs) in the Electric Power Industry (Government Decree No. 1178 of 2011) (2022 Ed.),2022,RUSSIAN FEDERATION,"The Federal Law on Electric Power Sector of the Russian Federation establishes an all-encompassing legal framework for the regulation of national electricity sector. Giving due priority to the price stability target, the Decree takes further steps towards strengthening regulatory control over tariff setting (retail and wholesale electricity markets). The policy elaborates on the basic price–setting methodology, specifies the functions of relevant authorities and agencies mandated with implementation of the envisaged policy measures. The Decree - initially adopted in 2011 - was amended by a series of Government Decrees (see the list of amending documents below).",https://policy.asiapacificenergy.org/node/815,National,Decree,Power,"Power, Renewable",APEP
Rules for the Development and Approval of Schemes and Programs for the Long-term Development of the Electric Power Sector (2021 Ed.),2021,RUSSIAN FEDERATION,"Consistent endeavors towards modernization of the power industry in the Russian Federation  have been recently undertaken subsequent to the adoption of a series of legislative acts - including the Federal Law on Electric Power Sector (2003). The present policy outlines ways to facilitate power infrastructure development and improve quality of power in grid connected systems. Regulatory frameworks are set for the operation of the Unified Power Grid System of the Russian Federation, general scheme for the regulation of the network of power grid enterprises is proposed.",https://policy.asiapacificenergy.org/node/800,National,"Decree, Rule/Regulation",Power,Power,APEP
Federal Law No. 7 of 2002 on the Protection of the Environment (2021 Ed.),2021,RUSSIAN FEDERATION,"The present Federal Law introduces a set of norms and regulations governing protection of the environment in the Russian Federation. Referring to Russia's Constitution, it emphasizes that every citizen has environmental rights as well as obligations to preserve natural resources and the environment, use in a sustainable manner the resources considered the backbone of national economy and the sustainable development. Mainstreaming environment in the national development strategy is the primary objective of the present Federal Law seeking to develop balanced solutions to existing tasks of economic and social development, to ensure preservation of natural resources and conservation of biodiversity for the needs and well-being of future generations. The structure of the document embraces the main areas of environmental regulation: chapter 1. General Provisions, chapter 2. Fundamentals of Environmental Protection Administration, chapter 3. Rights and Duties of Citizens, Public and Other Non-commercial Associations in the Field of Environmental Protection, chapter 4. Economic Regulation in the Field of Environmental Protection, chapter 5. Norm Setting in the Field of Environmental Protection, chapter 6. Assessment of Impacts on the Environment, chapter 7. Environmental Protection Provisions Applicable in case of Pursuance of Economic and Other Activities, chapter 8. Zones of Environmental Disaster and Emergency Situations, chapter 9. Facilities under Special Protection, chapter 10. State Environmental Monitoring, chapter 11. State Control over Protection of the Environment, chapter 12. Research on Protection of the Environment, chapter 13. Principles for Building a Culture of Environmental Responsibility, chapter 14. Liability in Case of Non-compliance with Environmental Legislation, chapter 15. International Cooperation, chapter 16. Conclusive Provisions.",https://policy.asiapacificenergy.org/node/799,National,Law,"Multi-Sector, Other","All, Other",APEP
Government Decree No. 977 of 2009 on Investment Programs of Power Sector Entities (2021 Ed.),2021,RUSSIAN FEDERATION,The Government Decree No.977 of 2009 on Investment Programs of Power Sector Entities (2021 Ed.) approves the attached a) criteria of reference of subjects of electric power industry among the subjects which investment programs (including definition of sources of their financing) are affirmed by the authorised Federal body; b) rules for approval of investment programs of electric power industry entities; c) rules of control over the implementation of investment programs of the electric power industry.,https://policy.asiapacificenergy.org/node/792,National,Decree,Power,Power,APEP
Federal Law No. 69 of 1999 on Gas Supply in the Russian Federation (2021 Ed.),2021,RUSSIAN FEDERATION,"The policy establishes legal, economic and organizational basis for the regulation of gas supply in the Russian Federation. The primary objective of the regulatory document is to ensure meeting the national demand for natural gas along with achieving improvements in existing trading mechanisms and tranboundary cooperation on the exploration of conventional sources of energy. The Law is structured as follows: Chapter 1 focuses on general provisions, Chapter 2 sets forth the principles of the state regulation in the field of gas supply, Chapter 3 highlights the specific features for the operation of gas deposits, Chapters 4 and 5 lay the ground for the development of gas markets in the Russian Federation, Chapter 6 focuses on economic relations in the area of gas supply, Chapter 7 aims to restrain monopolistic activities in the energy sector of the Russian Federation through enabling a more competitive market environment, Chapter 7 defines economic relations in the field of gas supply placing an emphasis on the mechanisms of tariff regulation, Chapters 8 concentrates on the legal relations between gas supplying organizations and entities of other sectors of the economy, Chapter 9 proposes measures to strengthen industrial security in the sector. --- The policy was adopted and approved by the chambers of the Federal Council of the Russian Federation in 1999 and came into force on the date of its official publication.",https://policy.asiapacificenergy.org/node/762,National,Law,"Energy, Power","Power, Gas",APEP
Law No. 459-IG of 1998 on Electric Power Industry (2021 Ed.),2021,AZERBAIJAN,"The electricity policy of Azerbaijan is implemented through the Law on Electric Power Industry of 1998 which provides for generation and distribution of electric and thermal power energy, tariff setting, regulation of power markets, export and import of electricity, safety of power generation, transportation, distribution and consumption, standards and norms for the operation of electricity and thermal power plants. The Power Act gives the relevant regulatory body an explicit regualtory authority over energy related activities. The policy promotes a balanced integration of economic and environmental dimensions of sustainable development, focuses on the sector-specific strategy for the environment.",https://policy.asiapacificenergy.org/node/390,National,Law,Power,Power,APEP
Law No. 513-IQ of 1998 on Gas Supply (2021 Ed.),2021,AZERBAIJAN,"The Law regulates the exploration, processing, transportation, storage, distribution, sales of the natural gas and all energy carriers in gaseous and liquid form. The regulatory document covers the thematic areas of standardization, land management, engineering and logistics. --- The Law on Gas Supply stipulates that the State operates a monopoly-management system of gas production, pipeline transportation, storage and distribution and underscores that private entities require a state concession to enter the sector.",https://policy.asiapacificenergy.org/node/366,National,Law,Energy,Gas,APEP
Environmental Protection and Management (Vehicular Emissions) Regulations (2022 Ed.),2022,SINGAPORE,"Regulations regarding emissions standards, testing, and noise emissions for motor vehicles and fleet vehicles.",https://policy.asiapacificenergy.org/node/300,National,Rule/Regulation,Transport,Gas,APEP
Energy Conservation (Motor Vehicles Subject to Fuel Economy Requirements) Order 2012 (2021 Ed.),2021,SINGAPORE,Overview of the specifications for motor vehicles subject to fuel economy requirements; including vehicles exempted from requirements.,https://policy.asiapacificenergy.org/node/292,National,Other,Transport,"Gas, Other",APEP
Energy Conservation (Fuel Economy and Vehicular Emissions Labelling) Regulations 2012 (2021 Ed.),2021,SINGAPORE,"Standards for fuel economy labelling; including information  regarding documents to be submitted, contents and conditions of issuance for fuel economy labels, and regulation around revocation of labels.",https://policy.asiapacificenergy.org/node/291,National,Rule/Regulation,"Energy, Power, Transport, Multi-Sector","All, Coal, Oil, Power, Gas, Other",APEP
Building Control Act (Act 9 of 1989) (2022 Ed.),2022,SINGAPORE,"An Act to consolidate the law relating to buildings, and for matters connected therewith; including the outline of protocol around energy use change of a building, and the requirements for energy audits on cooling systems in buildings.",https://policy.asiapacificenergy.org/node/230,National,Act,Building,"All, Other",APEP
"Civil Code of the Russian Federation (Chapter 2, Paragraph 6 'Electric Power Supply') (2021 Ed.)",2021,RUSSIAN FEDERATION,"The Civil Code is the principle regulatory document adopted by the State Duma in 1996 to lay the foundation for civil legislation in the Russian Federation. The Code recognizes inviolability of property, freedom of agreement, inadmissibility of arbitrary interference into private affairs and guarantees the reinstatement of civil rights in case of their violation. Chapter 2, para 6, art. 539 - 548 provide frameworks for regulation of power supply through connected grid. The policy focuses on power supply contracts and liabilities in this respect. It is stipulated that the energy supplying organization shall undertake to transmit power to the user (consumer) through the connected up network, while the user shall undertake to pay for accepted power, and to observe conditions of its consumption, provided for by the contract. Operational safety in power distribution to be ensured.  --- The quality of power transmitted shall comply with requirements established by the legislation of the Russian Federation, in particular with compulsory rules or provisions of the contract for power supply. --- Rules apply to the supply of thermal power through connected grid. Rules for the contract of power supply shall be applicable to the supply of gas, oil and oil products, water and other goods.",https://policy.asiapacificenergy.org/node/211,National,Code,Power,Power,APEP
Government Decree No. 449 of 2013 on the Mechanism for Promoting the Use of Renewable Energy Sources in the Wholesale Electricity and Capacity Market (2021 Ed.),2021,RUSSIAN FEDERATION,"The present policy is a specific regulation imposed by the Government of the Russian Federation to reassure national commitments to renewable energy goals. As the primary objective formulated by the policy is to accelerate renewable energy market growth, it proposes a capacity-based scheme envisaged to integrate solar, wind and hydro energy sources into capacity markets. The decree seeks to ensure security of electricity supply and enhance efficiency of facilities that sell renewable energy. Provisions are made for certification - or “qualification” - of renewable energy generating facilities, in this respect, minimum criteria is specified. Capacity-based scheme is applicable to generating facilities with installed capacity of 5MW. --- The policy aims to ensure sustainable, sufficient and balanced development of electricity markets as it gives more certainty to investment in RES generation projects. Frameworks are provided for investment regulation in respect to power plants construction. Enabling a competitive market environment shall be ensured.",https://policy.asiapacificenergy.org/node/210,National,Decree,Power,"Power, Renewable, Hydropower, Solar, Wind",APEP
Federal Law No.147 of 195 on Natural Monopolies (2021 Ed.),2021,RUSSIAN FEDERATION,"The present Law establishes legal frameworks for natural monopolies in the Russian Federation. The policy aims to ensure the mutual advantage and maintain the balance of interests of all market actors, thereby guarantee availability of natural monopoly goods to consumers and enhance efficiency of natural monopoly entities (Art. 1). Art. 2. The policy covers regulation of commodity markets and defines in this respect main market actors: holders of natural monopolies, consumers, federal regulatory bodies, regulatory bodies of constituent entities, and local regulators. The focus is made on the following areas: 1) transportation of oil and petroleum products via trunk pipelines; 2) gas transportation via trunk pipelines; 3) railway transportation; 3) services of transport terminals, ports and airports; 4) electric and postal communication; 5) power transmission; 6) operational dispatch control services in electric power industry; 7) heat supply services; 8) radioactive waste management; etc. (Art. 4). Provisions are made for enforcement procedures and penalties imposed in case of non-compliance.",https://policy.asiapacificenergy.org/node/205,National,Law,"Energy, Power, Multi-Sector","Oil, Power, Gas, Nuclear",APEP
Federal Law No.190 of 2010 on Heat Supply (2021 Ed.),2021,RUSSIAN FEDERATION,"The Federal Law on Heat Supply is a policy adopted in 2010 to provide the basis for improvements in Russia’s heating sector and for enhancing energy efficiency. The policy establishes a long-term vision for the development of heating sector in the Russian Federation, along with that considers its ecological implications. A number of cross-cutting policy measures is proposed to address the following areas: 1) tariff setting for heat supply and new tariff methodologies, 2) investment climate and removal of barriers to expanding financial incentives; 3) maintenance, reconstruction and modernization of heat supply systems; 4) state supervision and implementation of the present law. ---- With gradual phase-out of a cost-plus system of tariff setting, the Law introduces a return-on-investment scheme, thereby makes heat supply an attractive investment sector.",https://policy.asiapacificenergy.org/node/201,National,Law,"Power, Building","Power, Other",APEP
State Program on Environmental Protection (Government Decree No. 326 of 2014) (2021 Ed.),2021,RUSSIAN FEDERATION,"The State Program on Environmental Protection (2021 Ed.) was adopted in 2014 to establish rules of environmental management in the Russian Federation. The policy proposes cross-sectoral measures to reduce existing pressures and mitigate adverse impacts on the environment. The Ministry of Natural Resources and Environment and relevant regulatory bodies - as specified by subprograms - are tasked with implementation of a comprehensive set of policy measures that offer wide environmental benefits. The Program proposes implementation of a wide-scale environmental policy prioritizing a number of sub-areas, specifically: 1) environmental management; 2) biodiversity conservation; 3) hydrometeorology and environmental monitoring; 4) Arctic research programs; 5) measures to ensure implementation of the present national environmental program; 6) conservation program for the Baikal Lake and the Federal Targeted Program for Geophysical Monitoring in the Russian Federation for 2008 – 2015. Agencies governing the environmental sector will undertake activities in their effort to set up environmental monitoring system and ensure environmental security; to explore the possibilities for broader deployment of advanced technologies; to conduct scientific research on climate change and to establish essential frameworks for reducing damage to human health. Provisions are made for ecologically sustainable use of wildlife, biodiversity maintenance and ecosystems conservation. The present policy applies to protected and nature conservation areas and envisages enlargement of existing protection areas (detailed break-down data and target indicators are provided in Appendixes). It is provided that funds to support the program implementation will be allocated from the federal budget. A range of targeted national quantified environmental indicators is established, moreover, the resources and effort required to meet the established goals are estimated. Cross-sectoral policy measures related to finance, technology, industry and trade are covered. The program targets ensuring coherence with relevant national environmental policies and global regulations. Conformity with international criteria shall be achieved.",https://policy.asiapacificenergy.org/node/198,National,Programme,Multi-Sector,"All, Other",APEP
Electricity Act 2001 (2022 Ed.),2022,SINGAPORE,"This Act seeks to create a competitive market framework for the electricity industry, to make provision for the safety, technical and economic regulation of the generation, transmission, supply and use of electricity, and for other matters connected therewith, to repeal the Electrical Workers and Contractors Licensing Act (Chapter 89 of the 1985 Revised Edition), and to make consequential amendments to certain written laws.",https://policy.asiapacificenergy.org/node/170,National,Act,Power,Power,APEP
Gas Act (Act 11 of 2001) (2022 Ed.),2022,SINGAPORE,"This Act serves to create a competitive market framework for the gas industry, to make provision for the safety, technical and economic regulation of the transportation and retail of gas, and for other matters connected therewith, and to make consequential amendments to certain written laws.",https://policy.asiapacificenergy.org/node/169,National,Act,Energy,Gas,APEP
Energy Market Authority of Singapore Act 2001 (2022 Ed.),2022,SINGAPORE,"This Act established and incorporated the Energy Market Authority of Singapore, and provided its functions and powers.",https://policy.asiapacificenergy.org/node/168,National,Act,"Energy, Power","Power, Gas",APEP
Energy Conservation Act 2012 (2020 Ed.),2021,SINGAPORE,"This Act overviews energy conservation regulation: with emphasis on the EE labelling, transportation and industry standards of practice.",https://policy.asiapacificenergy.org/node/166,National,Act,Energy,"All, Other",APEP
Review of the Fiji National Energy Policy - Draft National Energy Policy,2030,FIJI,"The National Energy Policy sets out the Government’s direction for the energy sector in Fiji. It replaces the 2006 National Energy. It includes the Government's vision and objectives an overview of the energy sector, the targets aligned with the Sustainable Energy for All (SE4ALL) initiative of the United Nations and the priority policies. These address: grid-based power supply, rural electrification; renewable energy, transport, petroleum and substitute fuels, energy efficiency. The last section explores the implementation arrangements. Finally, Annex 1 summarizes the policy statements that emerged during the National Energy Forum in April 2013 and were considered to be included in the National Energy Policy.",https://policy.asiapacificenergy.org/node/165,National,Plan/Strategy,"Energy, Power","Power, Renewable, Bioenergy, Other",APEP
"Government Decree No. 401 of 2004 on the Federal Service for Ecological, Technological and Nuclear Supervision (2021 Ed.)",2021,RUSSIAN FEDERATION,"The Federal Service for Ecological, Technological and Nuclear Supervision (Rostechnadzor) is a national executive authority exercising - within the scope of its responsibilities - the functions of development and implementation of national nuclear policies. The agency carries out nuclear supervision responsibilities (except for development, production, testing, disposal of nuclear weapons and military nuclear power installations), monitors safety of electrical and thermal installations and networks (except for household installations and networks), safety of hydraulic engineering structures (excluding navigable hydraulic engineering structures and hydraulic engineering structures), ensures compliance with safety requirements throughout production, storage and application of explosive material of industrial purpose. Since its inception in 2004, the agency has established itself as a significant national environmental monitoring and coordination regulatory body.",https://policy.asiapacificenergy.org/node/149,National,Decree,Multi-Sector,Nuclear,APEP
Federal Law No. 35 of 2003 on Electric Power Sector (2021 Ed.),2021,RUSSIAN FEDERATION,"The present Federal Law establishes legal foundations for economic relations in the field of electric power production and consumption, defines the authority of governmental bodies for regulating these relations, the principal rights and duties of the electric power industry entities (including cogeneration) and electricity and heat consumers (as stipulated by Art. 1).",https://policy.asiapacificenergy.org/node/141,National,Law,"Energy, Power","Power, Renewable, Bioenergy, Geothermal, Hydropower, Solar, Wave and Tidal, Wind, Other",APEP
"Federal Law No. 261 of 2009 on Energy Saving and Improving Energy Efficiency, and on Amendments to Certain Legislative Acts of the Russian Federation (2021 Ed.)",2021,RUSSIAN FEDERATION,"The Federal Law no 261 defines core regulatory principles in the field of energy efficiency and energy conservation. The Law is adopted to replace the Federal Law On Energy Efficiency no. 28-FL dated 3 April 1996. The Law envisages amendments to a number of regulatory documents comprising the Tax Code of the Russian Federation, the Code of Administrative Offences, Federal Law On Public Procurement for the Delivery of Goods, Works Accomplishment and Services Rendering no. 49 – FL of 21 July 2005. Regulatory frameworks established by the Law require development of a number of bylaws, e.g., concerning energy efficiency requirements for goods, buildings and construction sector, public procurement, regional and municipal programs and initiatives on energy efficiency. -- The Law proposes establishing legislative, economic and organizational foundations for enhancement of energy efficiency and energy conservation. Art. 4 stipulates the following core principles and targets: 1) efficient and sustainable use of energy resources; 2) improvements in energy conservation and energy efficiency; 3) utilization of resources with due consideration of technological, ecological and environmental conditions; 4) developing a coordinated approach to conducting activities on energy conservation. ---- Provisions of the Federal Law shall be applicable to the use of water resources for hydropower generation and water supply through centralized water supply systems.",https://policy.asiapacificenergy.org/node/140,National,Law,Energy,"All, Other",APEP
Law No. 541-IQ of 1998 on Energy (2021 Ed.),2021,AZERBAIJAN,"The Law on Energy of the Republic of Azerbaijan provides the core principles of national energy regulation. Measures and activities specified by the policy focus on general aspects of energy policy implementation in the Republic of Azerbaijan. Particular sections cover key areas of state control and supervision over energy legislation execution. --  Art.3. Azerbaijan’s national energy priorities and goals thus far include 1) enabling competitive energy markets with no discrimination of energy producers, suppliers or consumers; 2) energy infrastructure development; 3) environmental impacts reduction; 3) creating favorable conditions for foreign investments and business development; 4) supporting cost-efficient local energy producers and enterprises; 5) facilitating introduction and commercialization of energy efficient technologies; 6) designing other energy-related support mechanisms and policy instruments.",https://policy.asiapacificenergy.org/node/132,National,Law,"Energy, Power","All, Power, Renewable",APEP
