Policy,Year,Country,Policy_Content,URL,Scope,Explanation,Agency,Source
President Biden Signs Executive Order on Federal Sustainability ,2021,USA,"<p>President Biden signed his “Executive Order on Catalyzing Clean Energy Industries and Jobs Through Federal Sustainability,” directing the federal government to use its procurement power to limit greenhouse gas emissions. &nbsp;</p>",https://climate.law.columbia.edu/content/president-biden-signs-executive-order-federal-sustainability,National,Executive Order,White House,Climate-Reregulation-Tracker
FEMA Releases Strategic Plan that Includes Climate Change Considerations,2021,USA,"<p>The Federal Emergency Management Agency released its strategic plan for 2022–2026, restoring climate change considerations that were absent from the Trump administration’s strategic plan.</p>",https://climate.law.columbia.edu/content/fema-releases-strategic-plan-includes-climate-change-considerations,National,Strategic Plan,FEMA,Climate-Reregulation-Tracker
EPA Finalizes Passenger Vehicle Greenhouse Gas Emissions Standards ,2021,USA,"<p>The Environmental Protection Agency finalized light-duty vehicle greenhouse gas emissions standards for Model Year 2023 and later, which are expected to result in average fuel economy label values of 40 mpg.</p>",https://climate.law.columbia.edu/content/epa-finalizes-passenger-vehicle-greenhouse-gas-emissions-standards,National,Final rule,EPA,Climate-Reregulation-Tracker
Office of the Comptroller of the Currency Releases Draft Principles for Managing Climate-Related Financial Risks,2021,USA,<p>The Office of the Comptroller of the Currency released draft principles to provide a framework for managing exposure to climate-related financial risks in OCC-regulated institutions with more than $100 billion in total consolidated assets.&nbsp;</p>,https://climate.law.columbia.edu/content/office-comptroller-currency-releases-draft-principles-managing-climate-related-financial,National,Draft Principles,OCC,Climate-Reregulation-Tracker
NHTSA Finalizes Repeal of Trump-Era Rule Blocking State Fuel Economy Standards,2021,USA,"<p>The National Highway Traffic Safety Administration finalized its repeal of the 2019 SAFE Rule Part I, which had codified the preemption of state and local laws related to fuel economy standards.</p>",https://climate.law.columbia.edu/content/nhtsa-finalizes-repeal-trump-era-rule-blocking-state-fuel-economy-standards,National,Final rule,NHTSA,Climate-Reregulation-Tracker
DOE Announces the Establishment of the Office of Clean Energy Demonstrations,2021,USA,<p>The Department of Energy announced the creation of the Office of Clean Energy Demonstrations to support clean energy technology demonstration projects.</p>,https://climate.law.columbia.edu/content/doe-announces-establishment-office-clean-energy-demonstrations,National,Agency Announcement,DOE,Climate-Reregulation-Tracker
Department of Energy Finalizes Reversal of Heating Efficiency Rollback,2021,USA,<p>The Department of Energy&nbsp;reinstated a previous interpretation of energy efficiency rules pertaining to residential furnaces and commercial water heaters.</p>,https://climate.law.columbia.edu/content/department-energy-finalizes-reversal-heating-efficiency-rollback,National,Final rule,DOE,Climate-Reregulation-Tracker
DOE Finalizes Reversal of Energy Efficiency Rollbacks,2022,USA,"<p>The Department of Energy finalized a rule reversing energy efficiency rollbacks issued by the prior administration for dishwashers, washing machines, and dryers.&nbsp;</p>",https://climate.law.columbia.edu/content/doe-finalizes-reversal-energy-efficiency-rollbacks,National,Final rule,DOE,Climate-Reregulation-Tracker
EPA Proposes Reinstating Finding Underpinning Mercury and Air Toxics Regulations for Power Plants,2022,USA,<p>The Environmental Protection Agency proposed revoking a 2020 rule that stated it was not appropriate and necessary to regulate mercury and air toxics from coal- and oil-fired electric utility steam generating units under Clean Air Act (CAA) Section 112.</p>,https://climate.law.columbia.edu/content/epa-proposes-reinstating-finding-underpinning-mercury-and-air-toxics-regulations-power,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
"CEQ Publishes Interim Guidance on Carbon Capture, Utilization, and Sequestration",2022,USA,"<p>The Council on Environmental Quality published its interim guidance document, “Carbon Capture, Utilization, and Sequestration Guidance.”</p>",https://climate.law.columbia.edu/content/ceq-publishes-interim-guidance-carbon-capture-utilization-and-sequestration,National,Guidance,CEQ,Climate-Reregulation-Tracker
FERC Updates its Pipeline Certification Policies,2022,USA,<p>The Federal Energy Regulatory Commission updated its policy statement governing the certification of new interstate natural gas facilities.</p>,https://climate.law.columbia.edu/content/ferc-updates-its-pipeline-certification-policies,National,Policy Statement,FERC,Climate-Reregulation-Tracker
FERC Announces Policies for Evaluating Climate Impacts,2022,USA,<p>The Federal Energy Regulatory Commission published an interim policy statement on considering greenhouse gas emissions in natural gas infrastructure project reviews.</p>,https://climate.law.columbia.edu/content/ferc-announces-policies-evaluating-climate-impacts,National,Policy Statement,FERC,Climate-Reregulation-Tracker
FEMA Unveils Program to Help Fund Climate Hazard Mitigation Efforts,2022,USA,"<p>The Federal Emergency Management Agency issued its <em>Building Resilient Infrastructure and Communities Policy</em>,<em> </em>which describes a new program to help fund climate hazard mitigation efforts.</p>",https://climate.law.columbia.edu/content/fema-unveils-program-help-fund-climate-hazard-mitigation-efforts,National,Notice,FEMA,Climate-Reregulation-Tracker
EPA Proposes New Emission Controls for Heavy Duty Vehicles and Engines,2022,USA,"<p>The Environmental Protection Agency proposed new standards for reducing air pollution from highway heavy-duty vehicles and engines, including ozone, particulate matter, and greenhouse gases.</p>",https://climate.law.columbia.edu/content/epa-proposes-new-emission-controls-heavy-duty-vehicles-and-engines,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
EPA Restores California’s Authority to Set Climate-Protective Vehicle Emissions Standards,2022,USA,<p>The Environmental Protection Agency rescinded its 2019 withdrawal of a waiver that allows California to set vehicle emissions standards that are more climate-protective than federal requirements.&nbsp;</p>,https://climate.law.columbia.edu/content/epa-restores-californias-authority-set-climate-protective-vehicle-emissions-standards,National,Notice of Determination,EPA,Climate-Reregulation-Tracker
SEC Proposes Greenhouse Gas Emissions and Climate Risk Disclosure Rule,2022,USA,<p>The Securities and Exchange Commission proposed a rule to require registrants to provide certain climate-related information in their registration statements and annual reports.</p>,https://climate.law.columbia.edu/content/sec-proposes-greenhouse-gas-emissions-and-climate-risk-disclosure-rule,National,Proposed Rule,SEC,Climate-Reregulation-Tracker
GSA Releases Concrete and Asphalt Standards for Federal Contractors to Reduce Climate Impacts,2022,USA,<p>The General Service Administration released standards to limit the global warming potential of concrete and asphalt used by federal contractors.</p>,https://climate.law.columbia.edu/content/gsa-releases-concrete-and-asphalt-standards-federal-contractors-reduce-climate-impacts,National,Standards,GSA,Climate-Reregulation-Tracker
President Biden Signs Executive Order on the Responsible Development of Digital Assets,2022,USA,"<p>President Biden signed an executive order with the goal of reducing the risk of digital assets such as cryptocurrencies on climate change, pollution, and energy demand.</p>",https://climate.law.columbia.edu/content/president-biden-signs-executive-order-responsible-development-digital-assets,National,Executive Order,White House,Climate-Reregulation-Tracker
FDIC Releases Draft Guidance for the Management of Climate-Related Financial Risks,2022,USA,<p>The Federal Deposit Insurance Corporation published its draft “Statement of Principles for Climate-Related Financial Management for Large Financial Institutions.”</p>,https://climate.law.columbia.edu/content/fdic-releases-draft-guidance-management-climate-related-financial-risks,National,Draft Principles,FDIC,Climate-Reregulation-Tracker
NHTSA Finalizes More Stringent Fuel Economy Standards,2022,USA,<p>The National Highway Traffic Safety Administration finalized more stringent corporate average fuel economy (CAFE) standards for passenger cars and light trucks for model years 2024–2026.</p>,https://climate.law.columbia.edu/content/nhtsa-finalizes-more-stringent-fuel-economy-standards,National,Final rule,NHTSA,Climate-Reregulation-Tracker
CEQ Finalizes the First Phase of its Revisions to NEPA Regulations,2022,USA,<p>The Council on Environmental Quality finalized “Phase 1” of its efforts to restore NEPA regulations to their pre-2020 rigor.</p>,https://climate.law.columbia.edu/content/ceq-finalizes-first-phase-its-revisions-nepa-regulations,National,Final rule,CEQ,Climate-Reregulation-Tracker
DOE Proposes Energy Conservation Standards for Consumer Pool Heaters,2022,USA,<p>The Department of Energy published a notice of proposed rulemaking concerning energy conservation standards for consumer pool heaters.</p>,https://climate.law.columbia.edu/content/doe-proposes-energy-conservation-standards-consumer-pool-heaters,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
DOE Updates Baseline Energy Efficiency Standards for New Federal Commercial and Multi-Family High-Rise Residential Buildings,2022,USA,<p>The Department of Energy updated its energy efficiency standards for new federal commercial and multi-family high-rise residential buildings under the Energy Conservation and Production Act.</p>,https://climate.law.columbia.edu/content/doe-updates-baseline-energy-efficiency-standards-new-federal-commercial-and-multi-family,National,Final rule,DOE,Climate-Reregulation-Tracker
DOE Updates Baseline Energy Efficiency Standards for New Federal Low-Rise Residential Buildings ,2022,USA,<p>The Department of Energy updated its baseline energy efficiency standards for the design and construction of new federal low-rise residential buildings under the Energy Conservation and Production Act.</p>,https://climate.law.columbia.edu/content/doe-updates-baseline-energy-efficiency-standards-new-federal-low-rise-residential-buildings,National,Final rule,DOE,Climate-Reregulation-Tracker
DOE Adopts Two Final Rules Setting Stricter Energy Efficiency Standards for Light Bulbs,2022,USA,<p>The Department of Energy finalized two rules reversing the previous administration’s rollback of energy efficiency standards for light bulbs.</p>,https://climate.law.columbia.edu/content/doe-adopts-two-final-rules-setting-stricter-energy-efficiency-standards-light-bulbs,National,Final rule,DOE,Climate-Reregulation-Tracker
BLM Reinstates 2013 Land Management Plan for the National Petroleum Reserve in Alaska,2022,USA,<p>The Bureau of Land Management issued a Record of Decision reverting the Integrated Activity Plan for the National Petroleum Reserve in Alaska to that approved in 2013.</p>,https://climate.law.columbia.edu/content/blm-reinstates-2013-land-management-plan-national-petroleum-reserve-alaska,National,Record of Decision,BLM,Climate-Reregulation-Tracker
President Biden Signs Executive Order on Enhancing the Climate Resiliency of the Nation’s Forests,2022,USA,"<p>President Biden signed an “Executive Order on Strengthening the Nation’s Forests, Communities, and Local Economies,” which includes measures to enhance the climate resiliency of the nation’s forests.</p>",https://climate.law.columbia.edu/content/president-biden-signs-executive-order-enhancing-climate-resiliency-nations-forests,National,Executive Order,White House,Climate-Reregulation-Tracker
NOAA Fisheries Releases Draft Climate Science Regional Action Plans for 2022 through 2024,2022,USA,<p>The National Oceanic and Atmospheric Administration released Draft Climate Science Regional Action Plans for the nation’s marine resources for 2022 through 2024.</p>,https://climate.law.columbia.edu/content/noaa-fisheries-releases-draft-climate-science-regional-action-plans-2022-through-2024,National,Draft Plan,NOAA,Climate-Reregulation-Tracker
DOE Proposes More Stringent Commercial Water Heating Equipment Energy Conservation Standards,2022,USA,<p>The Department of Energy proposed more stringent standards under the Energy Policy and Conservation Act for commercial water heating equipment.</p>,https://climate.law.columbia.edu/content/doe-proposes-more-stringent-commercial-water-heating-equipment-energy-conservation,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
The White House Releases Action Plan for Federal Permitting and Environmental Reviews,2022,USA,"<p>The White House published a “Permitting Action Plan to Rebuild America’s Infrastructure, Accelerate the Clean Energy Transition, Revitalize Communities, and Create Jobs.”</p>",https://climate.law.columbia.edu/content/white-house-releases-action-plan-federal-permitting-and-environmental-reviews,National,"White House Announcement,Strategic Plan",White House,Climate-Reregulation-Tracker
SEC Proposes Stricter Disclosure of Environmental Investment Practices,2022,USA,"<p>The Securities and Exchange Commission proposed amending rules and forms to enhance disclosure requirements for ESG (environmental, social, and governance) investment practices.</p>",https://climate.law.columbia.edu/content/sec-proposes-stricter-disclosure-environmental-investment-practices,National,Proposed Rule,SEC,Climate-Reregulation-Tracker
SEC Proposes Requirements to Limit Misleading Names for Green Investment Funds,2022,USA,"<p>The Securities and Exchange Commission proposed amending its fund “Name Rule” to limit misleading names for investment funds, including funds focusing on environmentally-sustainable investments.</p>",https://climate.law.columbia.edu/content/sec-proposes-requirements-limit-misleading-names-green-investment-funds,National,Proposed Rule,SEC,Climate-Reregulation-Tracker
EPA Proposed Reversing 2020 Changes to Water Quality Certification Rules,2022,USA,<p>The Environmental Protection Agency proposed&nbsp;revising and replacing its 2020 regulatory requirements for water quality certification under Clean Water Act (CWA) section 401.</p>,https://climate.law.columbia.edu/content/epa-proposed-reversing-2020-changes-water-quality-certification-rules,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
FWS Proposes Accounting for Climate Change-Driven Habitat Changes When Reintroducing Species,2022,USA,<p>The Fish and Wildlife Service proposed a rule that would allow the introduction of endangered or threatened species outside of their historic range to account for climate impacts.</p>,https://climate.law.columbia.edu/content/fws-proposes-accounting-climate-change-driven-habitat-changes-when-reintroducing-species,National,Proposed Rule,FWS,Climate-Reregulation-Tracker
DOE Proposes Energy Conservation Standards for Consumer Furnaces,2022,USA,<p>The Department of Energy published a notice of proposed rulemaking to set efficiency standards for non-weatherized gas furnaces and mobile home gas furnaces.</p>,https://climate.law.columbia.edu/content/doe-proposes-energy-conservation-standards-consumer-furnaces,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
BLM Publishes Guidance for Authorizing Carbon Sequestration Projects on Public Land,2022,USA,<p>The Bureau of Land Management published an Instruction Memorandum for authorizing rights-of-way to use public lands for carbon sequestration projects.</p>,https://climate.law.columbia.edu/content/blm-publishes-guidance-authorizing-carbon-sequestration-projects-public-land,National,"Agency Memorandum,Guidance",BLM,Climate-Reregulation-Tracker
FAA Proposes Fuel Efficiency Requirements for Certain Airplanes,2022,USA,<p>The Federal Aviation Administration published a notice of proposed rulemaking for creating fuel efficiency requirements for certification of certain airplanes.</p>,https://climate.law.columbia.edu/content/faa-proposes-fuel-efficiency-requirements-certain-airplanes,National,Notice of Proposed Rulemaking,FAA,Climate-Reregulation-Tracker
FHWA Proposes Standards for Electric Vehicle Infrastructure,2022,USA,"<p>The Federal Highway Administration proposed to establish regulations setting minimum standards and requirements for electric vehicle infrastructure projects, including projects funded under the National Electric Vehicle Infrastructure Formula Program.</p>",https://climate.law.columbia.edu/content/fhwa-proposes-standards-electric-vehicle-infrastructure,National,Notice of Proposed Rulemaking,FHWA,Climate-Reregulation-Tracker
EPA Proposes Amendments to the Greenhouse Gas Reporting Rule,2022,USA,<p>The EPA proposed revisions to the Greenhouse Gas Reporting rule to improve the quality and consistency of the data collected under the rule and improve implementation of the rule.</p>,https://climate.law.columbia.edu/content/epa-proposes-amendments-greenhouse-gas-reporting-rule,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
FHWA Proposed Requiring States and Municipalities to Establish Highway Carbon Dioxide Emissions Targets and Reporting Methodologies,2022,USA,<p>The Federal Highway Administration proposed requiring State departments of transportation and metropolitan planning organizations to establish declining carbon dioxide targets and methods for measuring and reporting greenhouse gas emissions associated with transportation on federal highways.</p>,https://climate.law.columbia.edu/content/fhwa-proposed-requiring-states-and-municipalities-establish-highway-carbon-dioxide,National,Notice of Proposed Rulemaking,FHWA,Climate-Reregulation-Tracker
HHS Releases Guidance on Extreme Heat Resilience Under the Low Income Home Energy Assistance Program,2022,USA,<p>The Department of Health &amp; Human Services' Administration for Children and Families published an&nbsp;information memorandum&nbsp;pertaining to how the Low Income Home Energy Assistance Program can respond to extreme heat risks.</p>,https://climate.law.columbia.edu/content/hhs-releases-guidance-extreme-heat-resilience-under-low-income-home-energy-assistance,National,"Agency Memorandum,Guidance","HHS,ACF",Climate-Reregulation-Tracker
Green and Resilient Retrofit Program for Multifamily Housing,2022,USA,"<p>In response to the passage of the Inflation Reduction Act of 2022, HUD seeks input on the design of a&nbsp;new program, the Green and Resilient Retrofit Program, through which HUD expects it will make multiple rounds of funding available to support energy, and water efficiency retrofits and climate resilience of HUD-assisted multifamily properties.</p>",https://climate.law.columbia.edu/content/green-and-resilient-retrofit-program-multifamily-housing,National,Request for Information,HUD,Climate-Reregulation-Tracker
DOE Proposes Energy Conservation Standards for Microwave Ovens,2022,USA,"<p>On August 24, 2022, the DOE published a supplemental notice of proposed rulemaking and request for comments on amended energy conservation standards for microwave ovens.</p>",https://climate.law.columbia.edu/content/doe-proposes-energy-conservation-standards-microwave-ovens,National,"Notice of Proposed Rulemaking,Requests for Comments",DOE,Climate-Reregulation-Tracker
EPA Proposes Accounting for Climate Change in Chemical Facility Risk Management Programs,2022,USA,"<p>The EPA proposes amending its Risk Management Program regulations governing chemical facilities to incorporate natural hazards, including those caused by climate change, that could lead to an accidental release.</p>",https://climate.law.columbia.edu/content/epa-proposes-accounting-climate-change-chemical-facility-risk-management-programs,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
DOE Proposes Energy Conservation Standards for Consumer Clothes Dryers,2022,USA,"<p>DOE proposes&nbsp;amended energy conservation standards for consumer clothes dryers, and also announces a public meeting to receive comment on these proposed standards and associated analyses and results.</p>",https://climate.law.columbia.edu/content/doe-proposes-energy-conservation-standards-consumer-clothes-dryers,National,Proposed Rule,DOE,Climate-Reregulation-Tracker
Interagency Ocean Policy Committee Requests Input on Development of U.S. Ocean Climate Action Plan,2022,USA,"<p>The interagency Ocean Policy Committee requests input from all interested parties to inform the development of a U.S. Ocean Climate Action Plan that will help guide and coordinate actions by the Federal government and civil society to address ocean, coastal, and Great Lakes-based mitigation and adaptation solutions to climate change.</p>",https://climate.law.columbia.edu/content/interagency-ocean-policy-committee-requests-input-development-us-ocean-climate-action-0,National,Request for Information,"CEQ,OSTP",Climate-Reregulation-Tracker
CFTC Requests Information on Climate-Related Financial Disclosures,2022,USA,"<p>The Commodity Futures Trading Commission is seeking comment on all applicable aspects of its existing regulatory framework and market oversight, as they may be affected by climate-related financial risk.</p>",https://climate.law.columbia.edu/content/cftc-requests-information-climate-related-financial-disclosures,National,Request for Information,CFTC,Climate-Reregulation-Tracker
"Oct. 26th Meeting on Climate Resilience in Agriculture, Food, and Nutrition Systems",2022,USA,"<p>The Board for International Food and Agricultural Development (BIFAD) at USAID&nbsp;is hosting its 187th public meeting, <em>Transformative Pathways Toward a Climate Resilient Agriculture, Food, and Nutrition System: A Public Consultation Ahead of the 27th Conference of Parties,</em> to present the preliminary findings of a commissioned study on solutions for systemic climate change adaptation and mitigation and scaling climate finance in agricultural, nutrition, and food systems. BIFAD seeks public input in response to the emerging findings.</p>",https://climate.law.columbia.edu/content/oct-26th-meeting-climate-resilience-agriculture-food-and-nutrition-systems,National,Request for Public Comment,Agency for International Development,Climate-Reregulation-Tracker
Proposed Reconsideration of Fugitive Emissions Rule,2022,USA,"<p>The EPA has proposed revisions to the Clean Air Act’s New Source Review (NSR) permitting regulations, which would require the owners/operators of all existing industrial facilities considered “major sources” to include “fugitive” emissions of air pollutants when determining whether a physical or operational change at their facility is a “major modification” which would need a major NSR permit before starting construction.&nbsp;</p>",https://climate.law.columbia.edu/content/proposed-reconsideration-fugitive-emissions-rule,National,Notice of Proposed Rulemaking,EPA,Climate-Reregulation-Tracker
DOE Considers Energy Conservation Standards for Metal Halide Lamp Fixtures,2022,USA,<p>The U.S. Department of Energy (“DOE”) is initiating an effort to determine whether to amend the current energy conservation standards for metal halide lamp fixtures (“MHLF”).</p>,https://climate.law.columbia.edu/content/doe-considers-energy-conservation-standards-metal-halide-lamp-fixtures,National,Request for Information,DOE,Climate-Reregulation-Tracker
SEC Reopens Comments on Proposed Climate Disclosure Practices,2022,USA,<p>The Securities and Exchange Commission has reopened for comments its proposed enhanced climate disclosure requirements.</p>,https://climate.law.columbia.edu/content/sec-reopens-comments-proposed-climate-disclosure-practices,National,Notice of Opportunity for Public Hearing and Comment,SEC,Climate-Reregulation-Tracker
EPA Announces Proposed Rule to Phase Down Climate-Damaging Hydrofluorocarbons ,2022,USA,"<p>The EPA has proposed a rule to implement the next step of the nation’s HFC phasedown, an ambitious 40% reduction below historic levels starting in 2024, following the Senate’s bipartisan ratification of the Kigali Amendment&nbsp;to the Montreal Protocol.</p>",https://climate.law.columbia.edu/content/epa-announces-proposed-rule-phase-down-climate-damaging-hydrofluorocarbons,National,Notice of Proposed Rulemaking,EPA,Climate-Reregulation-Tracker
DOE Requests Information on Use of Defense Production Act for Clean Energy,2022,USA,<p>The U.S. Department of Energy invites public comments around the issue of how the DOE's authority under the Defense Production Act can best be used as a tool to accelerate manufacturing and deployment of clean energy technologies.</p>,https://climate.law.columbia.edu/content/doe-requests-information-use-defense-production-act-clean-energy,National,Request for Information,DOE,Climate-Reregulation-Tracker
The Natural Resources Conservation Service Seeks Public Input on Use of IRA Funds to Deploy Climate-Smart Practices on Farms,2022,USA,"<p>The NRCS requests public input to inform the use of IRA Funds to fund the deployment of climate-smart practices on US farms, ranches, and forestlands through four Farm Bill conservation programs. NRCS also requests input on funding to quantify carbon sequestration and carbon dioxide, methane, and nitrous oxide emissions at the field scale, with a speciic focus on monitoring and quantifying agricultural sequestration or GHG mitigation.</p>",https://climate.law.columbia.edu/content/natural-resources-conservation-service-seeks-public-input-use-ira-funds-deploy-climate,National,Request for Public Comment,USDA,Climate-Reregulation-Tracker
DOE Proposes Energy Conservation Standards for Consumer Furnace Fans,2022,USA,"<p>The Department of Energy has published a preliminary analysis it has conducted for purposes of evaluating the needed&nbsp;amended energy conservation standards for consumer furnace fans, and seeks comments through a written comments period and public meeting.</p>",https://climate.law.columbia.edu/content/doe-proposes-energy-conservation-standards-consumer-furnace-fans,National,Proposed Rule,DOE,Climate-Reregulation-Tracker
DOE Proposes Energy Conservation Standards for Portable Electric Spas,2022,USA,"<p>The U.S. Department of Energy (“DOE”) has published data and certain preliminary analytical results related to DOE's evaluation of potential energy conservation standards for portable electric spas. The DOE requests comments, data, and information regarding the data and analysis.</p>",https://climate.law.columbia.edu/content/doe-proposes-energy-conservation-standards-portable-electric-spas,National,Proposed Rule,DOE,Climate-Reregulation-Tracker
Federal Advisory Committee on Insurance Meets to Discuss Climate Risk,2022,USA,"<p>The U.S. Department of the Treasury's Federal Advisory Committee on Insurance (FACI) will meet via videoconference on Thursday, December 8, 2022, from 1 p.m.-4 p.m. Eastern Time, in a meeting open to the public. The FACI will discuss, among other things, topics related to climate-related financial risk and the insurance sector.</p>",https://climate.law.columbia.edu/content/federal-advisory-committee-insurance-meets-discuss-climate-risk,National,Notice of Open Meeting,Treasury,Climate-Reregulation-Tracker
Advisory Council on Historic Preservation Exempts EV Chargers at Historic Sites from Review,2022,USA,<p>The Advisory Council on Historic Preservation (ACHP) has approved an exemption that would relieve federal agencies from the historic preservation review requirements under the National Historic Preservation Act regarding the effects of the installation of certain electric vehicle chargers on historic properties.</p>,https://climate.law.columbia.edu/content/advisory-council-historic-preservation-exempts-ev-chargers-historic-sites-review,National,Approval of Exemption,Advisory Council on Historic Preservation,Climate-Reregulation-Tracker
White House Environmental Justice Advisory Council ,2022,USA,"<p>The WHEJAC will convene a hybrid in-person public meeting with a virtual option spanning between November 30 and December 1, 2022. The meeting will incorporate public comments, and address issues of environmental justice and pollution reduction, energy, climate change mitigation and resiliency, environmental health, and racial inequity.</p>",https://climate.law.columbia.edu/content/white-house-environmental-justice-advisory-council,National,Notice of Open Meeting,CEQ,Climate-Reregulation-Tracker
Army Corps of Engineers Proposes Updates to its Natural Disaster Procedures,2022,USA,"<p>The Army Corps of Engineers <a href=""https://www.federalregister.gov/documents/2022/11/15/2022-24543/natural-disaster-procedures-preparedness-response-and-recovery-activities-of-the-corps-of-engineers"">proposes to revise</a> its natural disaster procedures under the Flood Control Act of 1941, as amended. Revisions will incorporate advances in risk-informed decision-making approaches and disaster response lessons learned from recent climate change-driven natural disasters, as well as recent amendments to the relevant section of the Flood Control Act.</p><p>&nbsp;</p>",https://climate.law.columbia.edu/content/army-corps-engineers-proposes-updates-its-natural-disaster-procedures,National,Proposed Rule,DOD,Climate-Reregulation-Tracker
Bureau of Indian Affairs Seeks Comment on Expanded Capacity for Climate-Change Tribal Land Acquisitions,2022,USA,"<p>The Bureau of Indian Affairs (BIA) seeks input on changes to its regulations governing the discretionary acquisition of land into trust for the benefit of tribal governments and individual Native Americans.&nbsp;Alongside other changes, the BIA proposes adding an expansive list of policy reasons that would support an acquisition on behalf of a tribe, including the explicit policy goal of establishing a tribal land base and providing for climate change-related acquisitions.</p>",https://climate.law.columbia.edu/content/bureau-indian-affairs-seeks-comment-expanded-capacity-climate-change-tribal-land,National,Proposed Rule,DOI,Climate-Reregulation-Tracker
EPA Approves Canola-Derived Fuels as Advanced Biofuels Under the Renewable Fuel Standard Program,2022,USA,"<p>EPA determines that renewable diesel, jet fuel, heating oil, naphtha, and liquefied petroleum gas produced from canola oil via a hydrotreating process all meet the lifecycle GHG emissions reduction threshold of 50 percent required for advanced biofuels and biomass-based diesel under the Renewable Fuel Standard program.</p>",https://climate.law.columbia.edu/content/epa-approves-canola-derived-fuels-advanced-biofuels-under-renewable-fuel-standard-program,National,Final rule,EPA,Climate-Reregulation-Tracker
"Reversing Trump-Era Rule, Department of Labor Amends ERISA's Fiduciary Duty Regulations to Accommodate Climate Investing",2022,USA,"<p>Reversing course from a Trump-era rule, the Department of Labor has adopted amendments to the ERISA Investment Duties regulation. These amendments clarify the application of ERISA's fiduciary duties of prudence and loyalty in certain areas, and emphasize that these duties may often require fiduciaries to consider the economic effects of climate change and other ESG factors.</p>",https://climate.law.columbia.edu/content/reversing-trump-era-rule-department-labor-amends-erisas-fiduciary-duty-regulations,National,Final rule,DoL,Climate-Reregulation-Tracker
"DOD, GSA, and NASA Propose Climate Disclosures for Large Federal Contractors",2022,USA,"<p>DoD, GSA, and NASA are proposing amendments to the Federal Acquisition Regulation to require certain Federal contractors to disclose their greenhouse gas emissions and climate-related financial risks, and require those contractors to set science-based targets to reduce their greenhouse gas emissions.</p>",https://climate.law.columbia.edu/content/dod-gsa-and-nasa-propose-climate-disclosures-large-federal-contractors,National,Proposed Rule,"DOD,GSA,NASA",Climate-Reregulation-Tracker
BLM Proposes New Regulations to Reduce Natural Gas Flaring and Leakage,2022,USA,"<p>The Bureau of Land Management (BLM) is proposing new regulations to reduce the waste of natural gas from venting, flaring, and leaks during oil and gas production activities on Federal and Indian leases. The proposed regulations would be codified in the Code of Federal Regulations and would replace the BLM's current requirements governing venting and flaring, which are more than four decades old.</p>",https://climate.law.columbia.edu/content/blm-proposes-new-regulations-reduce-natural-gas-flaring-and-leakage,National,Proposed Rule,"BLM,DOI",Climate-Reregulation-Tracker
Department of Energy Proposes Energy Conservation Standards for External Power Supplies,2023,USA,"<p>As part of statutorily mandated update to energy efficiency regulations, the U.S. Department of Energy (DOE) has proposed amended energy conservation standards for external power supplies, currently defined as an external power supply circuit “used to convert household electric current into DC current or lower-voltage AC current to operate a consumer product.” DOE is accepting written comments, data, and information on these proposed standards until April 3, 2023, and will hold a public meeting via webinar on Wednesday, March 1, 2023.</p>",https://climate.law.columbia.edu/content/department-energy-proposes-energy-conservation-standards-external-power-supplies,National,"Notice of Proposed Rulemaking,Notice of Opportunity for Public Hearing and Comment",DOE,Climate-Reregulation-Tracker
Department of Energy Proposes Energy Conservation Standards for Consumer Conventional Cooking Products,2023,USA,"<p>As part of statutorily mandated update to energy efficiency regulations, the U.S. Department of Energy (DOE) has proposed amended energy conservation standards for consumer conventional cooking products, including gas and electric ovens and cooking tops.</p>",https://climate.law.columbia.edu/content/department-energy-proposes-energy-conservation-standards-consumer-conventional-cooking,National,"Notice of Proposed Rulemaking,Notice of Opportunity for Public Hearing and Comment",DOE,Climate-Reregulation-Tracker
Department of Energy Requests Information Regarding IRA Home Efficiency and Electrification Rebate Programs,2023,USA,"<p>The U.S. Department of Energy's (DOE) Office of State and Community Energy Programs (SCEP) invites public input regarding the development of best practices for the Home Energy Rebate programs in accordance with the Inflation Reduction Act (IRA). DOE is accepting responses to the RFI until 8:00 PM EDT on March 3, 2023.</p><p>&nbsp;</p>",https://climate.law.columbia.edu/content/department-energy-requests-information-regarding-ira-home-efficiency-and-electrification,National,Request for Information,DOE,Climate-Reregulation-Tracker
EPA Sets New Air Pollution Standards for Heavy-Duty Engine and Vehicles,2023,USA,"<p>The U.S. Environmental Protection Agency (EPA) issued a final rule on Heavy-Duty Engine and Vehicle air pollution. These new standards do not include previously proposed updates to the GHG emissions standards, which have been deferred to a future rulemaking.</p>",https://climate.law.columbia.edu/content/epa-sets-new-air-pollution-standards-heavy-duty-engine-and-vehicles,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
